Question Number,Question,Option A,Option B,Option C,Option D,Option E,Option F,Correct Answer,Level,Medical Specialty,Group,umbrella_specialty,,,,,,,,,,,
24,أياً من الطرائق الاتية سمح بإعطاء صور أكثر غنى وأكثر تباين وفق ثلاثية أبعاد:,التجاوب المغناطيسي النووي.,التصوير بالأشعة السينية.,التصوير المقطعي المحوسب.,التصوير بالصدى.,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
64,تسجل مكاتب الطقس الضغط الجوي بـ:,الباوند لكل موجه مربعه,البار,البوصات او المليمترات الزئبقية,التور,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
37,يمكن للمعالجة الضوئية بـ UVB أن تكون فعالة عندما نستخدم منها بعض المعالجات ماعدا :,الموضعية مثل الأنثرالين وقطران الفحم,الموضعية مثل مشتقات فيتامين A وD,موضعية مثل الميتوتركسات والسورياتان,النظامية مثل الميتوتركسات والسورياتان,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,مقدار الطاقة الصادرة من واحدة السطوح من المنبع واحدة الزمن لكل ستبراديان من الزاوية الصلبة هو:,الاستطاعة,التألق الطيفي,السطوع," B,C ",,,B,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
476,العنصر الأكثر استخداماً في التصوير بالتجاوب المغنطيسي :,الأكسجين .,الهيدروجين.,الأزوت .,الكربون .,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,خطوط التاخير الالكترونية تجعل الموجة الصوتية تبلغ النرجام أولا ثم الترحام بتاخير قصير :,الجانبي - المركزي,المركزي - الجانبي,المركزي - المركزي الثاني,كل ما سبق خاطي,,,C,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
848,الجسيم النانوي المولد للأمواج البلازمية على سطحه تجاوبا مع تواتر ليزري يسلط عليها فترفع درجة حرارته لدى امتصاصه,كرية من السيليس مغلفة بالذهب,النقاط الكمومية المصدرة للضوء,جسيمات متزايدة الأبعاد,ذرة الهيدروجين,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
2,العالم الذي اكتشف توهج بعض الفلزات واخلق علم الأشعة المسببة لذلك اسم الأشعة السينية هو,هرتز,رونتحن,كومتون,اینشتاین,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
627,قدرة البصمه التيرا هرتز هى :,امتصاص الجزيئات المتكلفة لامواج وعكسها لها والتعرف على تركيبها,تحديد النسبة المئوية للمعادن في الجزيئات المختلفة,"A,B",كل ماسبق صحيح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
926,وفقا للعلاقة EB = EbA فإن طاقة إرتباط النواة الكلية تتناسب مع :,كتلة نكليوناتها,عدد نكليوناتها,حجم نكليوناتها,"A,C",,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,ان القوة اللازمة لإزاحة الجسيم بقدر كمسافة واحدة هي :,F,W,K,C.A,,,C,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,تترجم الاستجابة الهمودينيكية عن الحوادث في ال BOLD من خلا التغير في :,إشارة التواتر الصادر,إشارة التجاوب المغنطيسي للفعالي العصبونية,إشارة التردد,كل ما سبق صحيح,,,A,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
604,أكثر من 80% من سرطانات البالغين تصيب,النسيج الضامة,النسج الدموية,النسخ الظهارية,النسج الشبكية,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1317,يتناسب التخامد على بعد معين مع,(طرديا),البعد طرديا,"B,A",كل ما سبق خاطئ,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,أيا من العبارات التالية خاطئة.,استطاعة ليزر الهليوم نيون أكثر بمقدار منة ألف مرة من استطاعة مصباح الزنبق,سطوع ليزر الهليوم بدون أكبر بمقدار عشرة ملايين مرة من سطوع مصباح الزئبق,عرض الشريط الطيفي للبزر الهليوم نيون أقل منه في حالة مصباح الزنبق,زاوية الإصدار الصلبة للبزر الهليوم نيون أصغر منها في حالة مصباح الزنبق,,,D,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,يحدث مد البصر عندما :,القوة الكاسرة للعين كبيرة جدا,ترى بوضوح اجسام حيث تكون نقطة كثب واسعة جدا,ترى بوضوح اجساما قريبة حيث تكون نقطة الكثب ضيقة جدا,لا ترى بوضوح اجساما بعيدة حيث تكون نقطة الكثب واسعة جدا,,,B,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
97,من آثار الأشعة السينية : (الخطأ),مفعول كومتون.,المعالجة الفيزيائية .,المفعول الفوتو كهربائي .,توليد الأزواج.,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
41,من تطبيقات التيراهرتز ماعدا:,توصيف الخصائص الأساسية للمواد كتركيز حاملات الشحنة وحركتيهما,دراسة الفوتونات وكيفية تأثيرها في الجسم من اجل تشكيل الدواء,التحكم في جودة الصناعات نصف الناقلة والصيدلانية,المسح الأمني وتفتيش البريد للكشف عن أجسام أو مواد لا معدنية مؤدية,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1279,الأمواج الطولانية.,أمواج انصغاطية,أمواج ضغطية,تنتمى لها الأمواج الصوتية,كل ما سبق صحيح,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,– في انتثار كومتون عند الانتثار الزاوية يكون الطول الموجي المنتثر :,أطول من الطول الموجي الأصلي,اقصر من الطول الموجي الأصلي,نفس الطول الموجي الأصلي,كل ما سبق خاطئ,,,C,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
526,يتم انتقال الحرارة بالتماس المرن في:,الغازات,السوائل,الموائع,كل ما سبق صحيح,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
259,تحسب طاقة ارتباط النواة من علاقة أينشتاين E= حيث تعبر m عن مقدار:,مجموع كتل مكونات النواة.,النقص في كتلة النواة عن مجموع كتل مكوناتها .,الزيادة في كتلة النواة عن مجموع كتل مكوناتها .,كتلة كامل النواة .,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
134,تتناسب قوى اللزوجة.........مع سرعه الجسم في حال سرعات نسبيه أكبر تتناسب قوى المقاومة مع ........سرعه الجسم:,طرديا - القوة الرابعة,عكسيا ـ مربع,طرديا ـ مربع,عكسيا - القوة الرابعة,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,أي المجاهر التالية يمتلك مقدرة فاصلة افضل :,TEM,SEM,STM,المجهر الضوئي,,,A,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
41,يشع جسم الإنسان بشكل قريب حدا من إشعاع الجسمالأسود في مجال الأشعة:,تحت الحمراء,المرئية,فوق البنفسجي,كل ما سبق صحيح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
42,ترتبط فعالية UVC بشكل مباشر بـ :,شدتها,موقع التعرض,شدتها ومدة التعرض,"B,A",,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
429,تتشابه الأمواج الصوتية والأشعة الكهرطيسية من حيث :,تزايد سرعتها في النسج بالنسبة للهواء .,بقانون الانعكاس عند السطح الفاصل بين وسطين مختلفين .,بشكل العدسات المقربة .,بشكل العدسات المبعدة .,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1334,فعندا يطبق توتر كهربائي متناوب بين سطحی البلورة الكهر ضغطية تنغير ثخانتها ........... فتتنافق يتولد.......... الأمر الذي يجعل الاهتزازات......... تتحول إلى اهتزازات,زيادة- موجة ضوئية- الكهربائية - ميكانيكية,نقصان- موجة ضوئية - الكهربائية - ميكانيكية,زيادة ونقصان- موجة ضوئية -الميكانيكية-كهربائية,زيادة ونقصان -موجة ضوئية – الكهربائية- الميكانيكية,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,ايا من هذه النماذج فسرت الانعكاس والانكسار إضافة الى التداخل والانعراج للضوء :,النموذج الموجى,النموذج الحسيمي,النموذج الفوتوني,كل ما سبق خاطئ,,,A,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
7,كل ما يلي صحيح عن الأشعة السليلة ماعدا:,تبدي مقدرة فالسلة أعلى من الأشعة فوق البنفسجية,لم يكن هناك كعدسات لهذه الاشعة,تكمن فعالية هذه الأشعة في دراسة العالم المجهري للذرات والعرينات,هذه الأدوات كانت قادرة على تعقيم الأدوات الطبية,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
528,يتم نقل الحرارة في الجسم الصلب بالية:,النقل,الحمل,الإشعاع,كل ما سبق صحيح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
612,يظهر السن تلف نتيجة تلف,طبقة السن الداخلية,طبقة السن الخارجية,الميناء,"C,B",,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,يجب ان تكون من رتبة الطول الموجي اذا كان ...ويصبح هذا الشرط اقل تقييدا اذا كان ...... :,الضوء مترابط ، الضوء غير مترابط,الضوء غير مترابط ، الضوء مترابط,الضوء مترابط ، الضوء الليزر,كل ما سبق خاطئ,,,C,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
70,قرينة انكسار عدسة العين:,أكبر من قرينة انكسار المانع الزجاجي.,أصغر من قرينة انكسار المائع الزجاجي.,تساوي قرينة انكسار المائع المائي.,كل ما سبق خاطئ.,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
82,إن معالجة كمية قليلة من بروم الايتان مع كمية زائدة من NH3 المذابة في الإيتانول يعطي:,إيتيل أمين,ثنائي إيتيل أمين,ثلاثي إيتيل أمين,كل ما ذكر ليس صحيحا,,,A,Y1,Chemistry,ABCD,Chemistry and Physics,,,,,,,,,,,
124,في جهاز اسقاط تحرج الأشعة المتوازية من العدسة عندما نصنع منبع ضوني .... لعدسة مقربة.,في النقطة الدورية,في موقع العدسة,في النقطة الحرجة,كل ما سبق خاطئ,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
264,لا تعتبر الخاصة التالية من الخصائص المميزة للقوى النووية:,القوى النووية تجاذبية.,شديدة قصر المدى.,تتبع قانون التربيع العكسي للمسافات.,م خاصة الإشباع.,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
504,المواقع الرئيسية الثلاثة لقياس درجة حرارة النواة هي:,المستقيم,البلعوم,الأذن,كل ماسبق صحيح,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
46,يمكن ان ينشطر طيف الهيدروجين عندما يتعرض لحقل مغناطيسي الى : (الخطأ),ثلاثة خطوط طيفية.,أربعة خطوط طيفية.,خمسة خطوط.,لا ينشطر ابدا.,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
214,عند دراسة طاقات التأين المتتالية لعنصر تبين وجود 6 طاقات تأين فقط:,العنصر هو الكربون,العنصر هو الأكسجين,هو أحد عناصر المجموعة الرابعة,هو أحد عناصر المجموعة السادسة,,,A,Y1,Chemistry,ABCD,Chemistry and Physics,,,,,,,,,,,
27,من تطبيقات الطبيعة الجسيمية للأمواج : (الخطأ),طول موجة دوبروي.,المجهر الإلكتروني .,المفعول الكهر ضوئي .,ليزر الإلكترونات الحرة.,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
139,إن السبب في ازدياد حرارة المادة هو امتصاصها لأمواج كهرطيسية هي:,أمواج ضوئية.,أمواج طولها .,أمواج ما تحت الحمراء.,كل ما سبق خاطئ.,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
18,للحصول على مقدرة فاصلة أفضل ثمة إمكانية لاستخدام مجهر بضوء:,مرئي.,بنفسجي .,فوق بنفسجي.,ليزر.,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
13,مجال الـ UVC طوله الموجي بين :,315-400nm,280-315nm,100-280nm,كل ماسبق خاطئ,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
412,يمكن للأمواج فوق الصوتية أن تحدث في النسج :,تأيينات تزول بتناول نوع معين من الدواء .,تحدث طفرات تتحول إلى أورام .,اهتزازات ضئيلة تزول بمجرد زوال السبب الذي أدى إلى حدوثها .,ليس لها تأثير من اي نوع .,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
52,تستخدم الأصبغة الـمفلورة.. من الـ UV فى :,دهانات الطلاء,دهانات الأوراق والأنسجة,"A,B",كل ماسبق خاطئ,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1167,ان الوزن النوعى للدم هو عادة نحو,1.040 الى 1.065,1.035 إلى1.066,1.050 الى 1.070,كل ما سبق صحيح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
239,العنصر ذو الترتيب الالكتروني 1s2 2s2 2p5 ينتمي إلى مجموعة:,المعادن القلوية,المعادن الترابية,الهالوجينات,الغازات النبيلة,,,C,Y1,Chemistry,ABCD,Chemistry and Physics,,,,,,,,,,,
1,كل العبارات التالية عن خاطئة ما عدا :,اشعاع مؤين تماما ويمتصه الغلاف الجوي بشكل جزئي,اشعاع مؤين تماما و لا يمتصه الغلاف الجوي بشكل كامل,اشعاع مؤين تماما و يمتصه الغلاف الجوي بشكل كامل,كل ما سبق خاطئ,,,A,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
34,يتزايد معدل إشعاع الطاقة مع ارتفاع درجة الحرارة وفقا ........... لدرجة الحرارة المطلقة لسطح الجسم:,. للقوة الثانية,. للقوة الرابعة,للقوة الثالثة,للقوة الأولى,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
82,إن النظير المثالي علميا في استكشاف الجسم البشري الحي الذي يصدر أشعة,سينية نقية,غاما نقية,مرئية نقية,غاما و سينية,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
280,الألكن المتفاعل مع محلول KMnO4 المركز والساخن في التفاعل الآتي هو :OCH3 C CH3 + CH3CO AIkene →,(CH3)2C=CH2,(CH3)2=CHCH3,CH3CH=CHCH3,غير كل ما سبق,,,B,Y1,Chemistry,ABCD,Chemistry and Physics,,,,,,,,,,,
533,المواد ذات الناقلية الحرارية العالية تدعى .............. والمواد ذات الناقلية المنخفضة تدعى……………,النواقل - النواقل,النواقل - العوازل,العوازل - النواقل,العوازل - العوازل,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
181,يطلق اسم انتثار ريليه على الانتثار المرن في الحالة التي تكون فيها أبعاد جسيمات الانتثار :,تساوي ضعف طول موجة الإشعاع الوارد.,تساوي طول موجة الإشعاع الوارد .,أصغر من طول موجة الإشعاع الوارد .,أكبر من طول موجة الإشعاع الوارد .,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
134,يمكن وضع الحظار قبل العدسة ل :,تخفيض ابعاد الفتحة,تخفيض ابعاد دائرة الوضوحية المثلى,"A,B",كل ما سبق صحيح,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
41,تعرف السرعة بأنها :,تغير مقدار المتفاعلات حصريا مع الزمن,تغير مقدار المنتجات حصريا مع الزمن,تناقص مقدار المتفاعلات أو تزايد مقدار المنتجات مع الزمن,بأنها تناقص مقدار المتفاعلات حصريا مع الزمن,,,C,Y1,Chemistry,ABCD,Chemistry and Physics,,,,,,,,,,,
25,تتفرع الطبقات الأساسية الطاقية الكمومية في الفراغ الالكتروني للذرة باستثناء:,الطبقة الأولى,الطبقة الثانية,الطبقة الثالثة,الطبقة الرابعة,,,A,Y1,Chemistry,ABCD,Chemistry and Physics,,,,,,,,,,,
81,الأثر الحمامي هو :,إحمرار البشرة بسبب الإشعاع,حساسية البشرة في مجال الأطوال الموجية للـ UV,معدل النشاط الفيزيولوجي بدلالة الطول الموحي,كل ما سبق صحيح,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
60,تقع مستويات الأمواج فوق الصوتية التشخيصية في مجال الشدات watt/cm²)) من,من0.01إلى 0.1,من إلى 2,من0.1إلى 0.2,من 0.001إلى 0.1,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1282,تنتشر الأمواج العرضائية في,المواقع,الجسم الصلب,الغازات,"B,A",,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1229,يمكن أن تستغرق الجسيمات زمنا طويلا ت فى المحلول ولوكان النقل وحده هو الذي,تسارع الجاذبية,وزن الجسيم,سرعته النسبية,كل ما سبق صحيح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
163,يكتب المبصاريون وصفات بدلالة :,قوة التكبير,القوة الكاسرة,التكسر الزاوي,البعد الدوري,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
42,من أجل الحالة n= 3 لذرة الهدروجين يأخذ العدد الكمومى المداري I القيم المسموحة :,"(0,1)","(-1,0,1)",0,"(0,1,2)",,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
147,منشأ إشعاع التيراهرتز هو:,الوحدات المحركة في العضلات.,الفرق بين درجة حرارة الجسم والهواء الملامس لسطحه.,الحركات الاهتزازية والدورانية للجزيئات في المادة.,جميع العبارات السابقة خطأ.,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
129,الفاصل الزمني الذي يسمح خلاله للضوء بالمرور من الفتحة,الحظار,مدة التعرض,المغلاق,العلم,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,– أيا من الاشعاعات الكهرطيسية ذات تواتر اعلى :,عامودية,سينية,مرئية,ميكروبه,,,A,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
78,إن الوزن النوعي للدم هو عادة نحو:,1.040الي 1.065,1.035الي 1.066,1.050الي 1.070,كل ما سبق صحيح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
61,ان ضغط الدم في الشرايين اعلى بنحو............ من الضغط الجوي:,kpa22,20kpa,30kpa,10kpa,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
749,أيا من العبارات التالية خاطنة بالنسبة لليزرات الحالة الصلبة,يتم عمليا بالإبقاء على الانقلاب الإسكاني في الذرات الشائبة,تضح هذه المواد باستخدام طول موجي أقصر منه في حالة طول موجة الليزر,يكون الضح من أنبوب ومضي أو من ليزر اخر,يشيع استخدام الإثيليوم في مختلف بلورات الحالة الصلبة,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
51,عندما يكون التجاذب بين ذرات معتدلة كهربائيا كل منها ثنائي قطب كهربائي تدعى الروابط:,روابط هيدروجينية,روابط *,روابط أيونية,روابط تشاركية,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
536,التبادلات التي تجري بين الجسم الصلب والمانع المتحرك الذي يختلف عنه في درجة الحرارة تكون:,النقل,الحمل,الإشعاع,التنخر,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
331,تتميز الذواكر EPROM بكل مايأتي ماعدا :,تتميز وحداتها بنافذة من الزجاج شفافة تسمح بإمرار الـ UV إلى داخلها,تتمير وحداتها بنافذة من الكوارتز شفافة تسمح بإمرار الـ UV إلى داخلها,يستعمل الـ UV لمحور بعض وحداتها,ذاكرة القراءة فقط القابلة للبرمجة القابلة للمسح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
459,تتعلق المقدرة الفاصلة في الإيكوغرافي : (الخطأ(,بعرض حزمة الموجة الصوتية .,بتواتر الموجة الصوتية .,بنوع النسيج الذي تخترقه الموجة .,بشدة الحزمة وتواترها .,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
512,تمثل العلاقة التالية:,التيار الحرارى للاشعاع .,التيار الحرارى للحمل .,التيار الحرارى للنقل .,التيار الحرارى للتبخر .,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,عندما تكون حركة المائع ناجمة عن تغيرات كثافته المرتبطة أو تزيده يكون الحمل:,تلقائيا,طبيعيا,قسريا,كل ما سبق خاطئ,,,B,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
58,يتناسب التخامد l∆ على بعد معين مع:,شدة الموجة الصوتية عند ذلك البعد (طرديا),البعد (طرديا),"A, B",كل ما سبق خاطئ,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1016,كل العبارات التالية عن كاميرا غاما صحيحة ماعدا :,يمكن عرض الشدات المقيسة على شاشة تلفزيون أو حاسب,تسمح بإجراء دراسات دينميكية (تحريكية) من خلال الصور التي تنغير بدلالة الزمن,يتم الكشف عن الفوتونات التي تعبر ثقوب صفيحة التسديد الرصاصية,يتم الكشف عن الفوتونات التي تعبر ثقوب صفيحة التسديد النحاسية,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,الاشعاع الذي ينفذ من المواد كلها عدا الماء والمعادن هو :,الاشعاع تحت الأحمر,اشعاع التير هرتز,الاشعاع فوق البنفسجي,ليس أيا مما سبق,,,B,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
433,إن المعاوقة الصوتية: (الخطأ),تكون أكبر ما يمكن في النسج العظمية .,أصغر ما يمكن في الرئتين .,وتكون في النسيج الشحمي أعلى منها في الرئتين .,الإجابات المذكورة ليست كلها صحيحة .,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1235,إن اتجاه القوة في التوتر السطحي عند حافته,معامدة للسطح,مماس للسطح,تصنع زاوية حادة مع السطح,كل ما سبق خاطئ,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1085,مدى إختراق جسيمات ألفا في الهواء...... وفي الأنسجة........,0.04mm - 3cm,0.4mm - 5cm,0.0mm - 5cm,كل ما سبق خاطئ,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
403,لدى ورود موجة صوتية على السطح الفاصل بين وسطين مختلفين بممانعتيهما الصوتيتين ، تتناسب الشدة المنعكسة طردياً مع :,حاصل جمع الممانعتين .,حاصل ضرب الممانعتين .,حاصل طرح الممانعتين .,ممانعة الوسط الأول وليس الثاني .,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
43,تعكي طاقة الموجة بالعلاقة:,2π²mf²A²,2π²psiltf²A²,"B, A",2π²PSVF²A²,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
52,أيا من هذه النماذج فسرت الإنعكاس والإنكسار إضافة إلى التداخل والإنعراج للضوء :,النموذج الموجي,النموذج الجسيمي,النموذج الفوتوني,كل ما سبق خاطئ,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
421,اختر الإجابة الصحيحة حول التصوير الوعائى الرقمي :,يعد من تطبيقات التصوير الشعاعي التقليدي الرئيسية .,يؤدي حقن مستحضر تباين داخل الوريد إلى زيادة التباين داخل الأوردة والشرايين.,تسمح هذه التقنية باجراء التصوير الوعائى من دون تحثير ومن دون أي خطر يرتبط بالوخز الشرياني .,تستخدم في التصوير الوعائى القلبي وفي تقصى أثار الإصابات العصيدية .,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,يمكن الحصول على صور للبنية الداخلية الجسم عن طريق التصوير بالأمواج :,الصوتية,فوق الصوتية,تحت الصوتية,b.d,,,C,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1362,كل ما يلي صحيح عن المضخم اللغارتمي ماعدا,يرمز له بمثلث متساوي الأضلاع,له مدخلان + و - عند اثنين من رؤوسه,له مخرج واحد,له مخرجان,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1437,ان دور تكرار اثارة المخلطة في الدماغ في الـ Boldيحدد,عدد مرات إثارة شريحة معينة فيه,فقدانها مخطتها في الثانية,"A,B",كل ما سبق خاطئ,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,تتعلق البؤرة الصوتية بعدة وسطاء:,نصف قطر الحناء العدسة,ابعاد البلورة الكهر ضغطية,تواتر الموجة الصوتية,كل ما سبق صحيح,,,C,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
707,اختر المعلومة الخاطئة من الأمواج المكروية مما يلي:,الأمواج المكروية لها طاقة كافية لتأيين المولد,ليس لها آثار بيولوجية سيئة عند مستويات منخفظة,التعرض لشدات عالية يمكن أن يسب التسحي والحروق,التعرض لها على المدى الطويل يمكن أن يكون له على الأغلب آثار مسرطنة,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
84,الإشعاع الذي يؤدي إلى إتلاف الـDNA :,UVA,UVB,UVC,"B,A",,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
19,عندما 0 =¬ I L = 0 هي قيمة مقبولة وتدل في ميكانيك الكم أن القمامة :,لها محور تناظر,متناظر كرويا,ليس لها محور تناظر,"B,C",,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
55,إن الوفرة النظيرية في عنصر طبيعي:,ثابتة,متغيرة,مختلفة,كل ما سبق صحيح,,,A,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1148,كل 1 atm يساوي,102kpa,101.3kpa,101.4kpa,101.2kpa,,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
329,التعرض هو مقدر التأين الذي تحدثه: (الخطأ),أشعة سينية في الهواء .,أشعة غاما في الهواء .,أشعة سينية أو أشعة غاما .,كافة أنواع الأشعة دون استثناء .,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,يطلق على المنظم اسم اللغارتمي عندما :,يوصل ثنائي وصلة (برابر ستور) في حلقة التغذية,بوصل مقاومة في حلقة التعدية,يوصل مكلفة في حلقة التعدية,يوصل وشيعة في حلقة التغذية,,,D,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
927,وفقا للعلاقة EB = Eb = A فان EB هو :,طاقة إرتباط النكليون الواحد,ثابت تناسب,"A,B",كل ماسبق خاطئ,,,C,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1389,الـNMR هو أداة فعالة في,مجالات الفيزياء والكيمياء والكيمياء,التصوير الطبي والتحليل,البحث العلمي,كل ما سبق صحيح,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
143,الإجابة الصحيحه حول استنباط مندليف للجدول الدورى,رتب العناصر ذات الخواص المتشابهة فى اعمدة,رتب العناصر فى تعداد مجموعات رئيسية,رتب العناصر فى سبع ادوار,رتب بالعدد الذرى للجرماليوم الذى لم يكت مكتشف حينها,,,A,Y1,Chemistry,ABCD,Chemistry and Physics,,,,,,,,,,,
207,الموجتان اللتان تحافظان على علاقة طورية ثابتة بينهما هما موجنان,غدر مترابطتان,مترابطتان,من منبعين مختلفين,"A,C",,,B,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
194,لا تعتبر الصفة التالية من الصفات المميزة لحزمة الليزر :,الترابط .,وحدانية الطول الموحى .,الشدة العالية .,الانتشار الزاوي، الواسع .,,,D,Y1,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
1,تتميز الأصبعة بعنية ليزرة :,منخفضة جدا,مرتفعة جدا,"A,C",متوسط,,,D,Y3,Physics,ABCD,Chemistry and Physics,,,,,,,,,,,
