ID,QUESTION,GROUND TRUTH,MODEL,PREDICTION,LABEL
,,,gemma3_27b_it,انخفاض معدل الانتشار,
,,,gpt52,تقل سرعة الانتشار,
,,,jais,قابلية التأثر بالضغط.,
,,,llama31_8b_inst,ينتقل بسهولة أقل.,
,,,llama33_70b_inst,يقل ضغط البخار,
,,,med42,يقل ضغط البخار,
,,,medgemma,يقل معدل الانتشار,
,,,meditron,يزيد ضغط البخار.,
,,,mistral_7b,زيادة ضغط الغاز,
,,,mistral_small,ينخفض قابلية الذوبان,
,,,silma,يصبح الغاز أقل كثافة.,
605,ما هو المبدأ الأساسي للتشتت؟,الانتشار,allam_7b_inst_prev,مبدأ التشتت: ANSWER: قانون بير-لامبرت,
,,,aya_expanse_8b,قانون نيوتن الأول للحركة.,
,,,claude,انكسار الضوء,
,,,deepseek,تشتت الضوء,
,,,falcon,توزيع الدواء بالتساوي,
,,,fanar,ئي,
,,,gemini,انتشار الضوء في اتجاهات مختلفة,
,,,gemma3_27b_it,انتشار الجزيئات,
,,,gpt52,تشتت الشعاع السيني,
,,,jais,تبعثر الضوء,
,,,llama31_8b_inst,قانون الأثر المتبادل,
,,,llama33_70b_inst,انتشار الموجات,
,,,med42,انتشار الموجات الصوتية في الأنسجة المختلفة,
,,,medgemma,تشتت الضوء,
,,,meditron,التشتت هو عملية انتقال الجسيمات الصغيرة في السوائل أو الغازات.,
,,,mistral_7b,تشتت عضلية,
,,,mistral_small,تقليل التركيز,
,,,silma,التشتت هو انحراف الضوء عن مساره الأصلي.,
617,ما الذي تعتمد عليه سرعة انتشار الأوكسجين عبر غشاء الخلية؟,مقدار ذوبانه في الشحوم,allam_7b_inst_prev,فرق التركيز,
,,,aya_expanse_8b,تدفق الدم و تخلل الأوكسجين,
,,,claude,فرق الضغط الجزئي للأوكسجين عبر الغشاء,
,,,deepseek,قابلية ذوبان الأكسجين في الدهون,
,,,falcon,سماكة الغشاء,
,,,fanar,concise line.,
,,,gemini,فرق الضغط الجزئي للأوكسجين,
,,,gemma3_27b_it,قانون فيك,
,,,gpt52,فرق الضغط الجزئي للأوكسجين,
,,,jais,الضغط الجزئي للأوكسجين.,
,,,llama31_8b_inst,الاختلاف في التوصيل الكيميائي.,
,,,llama33_70b_inst,التركيب الشبكي الغشائي,
,,,med42,فرق التركيز (Gradient),
,,,medgemma,تدرج تركيز الأكسجين,
,,,meditron,فرق الضغط الجزئي.,
,,,mistral_7b,Myoglobin,
,,,mistral_small,التدرج التركيزي,
,,,silma,الفرق في تركيز الأوكسجين,
619,ما هي الوظيفة الرئيسية للعقدة الأذينية البطينية في الحالات السوية؟,توليد إشارات تجعلها ناظمة للقلب,allam_7b_inst_prev,تنظيم ضربات القلب,
,,,aya_expanse_8b,تنظيم إيقاع القلب,
,,,claude,تأخير التوصيل الكهربائي من الأذينين إلى البطينين,
,,,deepseek,تأخير النبض الأذيني قبل انتقاله للبطينين,
,,,falcon,تنظيم الإيقاع القلبية,
,,,fanar,.,
,,,gemini,تأخير النبضات الكهربائية,
,,,gemma3_27b_it,تأخير النبض,
,,,gpt52,تأخير التوصيل الأذيني البطيني,
,,,jais,تنظيم معدل ضربات القلب.,
,,,llama31_8b_inst,تنظيم النبضات القلبية,
,,,llama33_70b_inst,تنظيم إيقاع القلب,
,,,med42,تنظيم ضربات القلب,
,,,medgemma,تأخير النبض الكهربائي,
,,,meditron,تؤخر النبضات القلبية بين الأذين والبطين.,
,,,mistral_7b,توصيل الصوت,
,,,mistral_small,نقل الإشارات الكهربائية,
,,,silma,تحويل الإشارات الكهربائية,
634,ما هي أجهزة التحكم والضبط والمراقبة في الجسم؟,العصبى الصماوى,allam_7b_inst_prev,الجهاز العصبي المركزي,
,,,aya_expanse_8b,الجهاز العصبي اللاإرادي,
,,,claude,الجهاز العصبي وجهاز الغدد الصماء,
,,,deepseek,الجهاز العصبي والغدد الصماء,
,,,falcon,الجهاز العصبي الذاتي,
,,,fanar,بط والمراقبة في الجسم؟,
,,,gemini,الجهاز العصبي والجهاز الصمّي,
,,,gemma3_27b_it,أنظمة التحكم العصبية والغدد الصماء,
,,,gpt52,الجهاز العصبي وجهاز الغدد الصماء,
,,,jais,الجهاز العصبي الذاتي,
,,,llama31_8b_inst,الجهاز العصبي,
,,,llama33_70b_inst,الجهاز العصبي والجهاز الهرموني,
,,,med42,الجهاز العصبي والجهاز الهرموني,
,,,medgemma,الجهاز العصبي والغدد الصماء,
,,,meditron,الجهاز العصبي.,
,,,mistral_7b,أجهزة التحكم العصبية (CNSystem),
,,,mistral_small,الجهاز العصبي,
,,,silma,الجهاز العصبي,
644,ما هي العوامل التي تتناسب معها سرعة الانتشار البسيط؟,طردا مع مدروج تركيز المادة المنتشرة,allam_7b_inst_prev,درجة الحرارة,
,,,aya_expanse_8b,السرعة = المسافة / الزمن,
,,,claude,تركيز المادة، مساحة السطح، نفاذية الغشاء، ودرجة الحرارة (وتتناسب عكسياً مع سمك الغشاء),
,,,deepseek,درجة الحرارة والكتلة المولية,
,,,falcon,مساحة سطح الأغشية,
,,,fanar,شار البسيط؟,
,,,gemini,مساحة السطح، فرق التركيز، نفاذية الغشاء,
,,,gemma3_27b_it,مساحة السطح و تدرج التركيز,
,,,gpt52,تدرج التركيز ومساحة السطح ومعامل الانتشار وعكسياً مع سُمك الغشاء,
,,,jais,النفاذيةية والتركيز.,
,,,llama31_8b_inst,السرعة الحركية,
,,,llama33_70b_inst,التركيبة الكيميائية والتركيب الجزيئي,
,,,med42,مساحة السطح، لزوجة، كثافة المادة,
,,,medgemma,معدل التكاثر الأساسي,
,,,meditron,العوامل التي تتناسب معها سرعة الانتشار البسيط هي:,
,,,mistral_7b,عمر وجنس وعلاج قليل,
,,,mistral_small,درجة الحرارة,
,,,silma,حجم الجسيمات,
651,ما هي الحالات التي تزداد فيها كمية الماء الموجودة في الأحياز الخاصة؟,الجنب وانصباب الجنب,allam_7b_inst_prev,احتباس السوائل,
,,,aya_expanse_8b,زيادة الضغط داخل الأوعية الدموية,
,,,claude,الوذمة (Edema),
,,,deepseek,الوذمة,
,,,falcon,الفشل الكلوي,
,,,fanar,زيادة حجم الدم,
,,,gemini,الوذمة,
,,,gemma3_27b_it,وذمة,
,,,gpt52,الوذمة,
,,,jais,الجفاف، الوذمة، الالتهاب.,
,,,llama31_8b_inst,زيادة في السوائل.,
,,,llama33_70b_inst,الحمل والتهاب الحملي,
,,,med42,فرط تنسج الأحياز (Hyperplasia of Endometrium) أو حامل (Pregnancy) أو متلازمة بول-بسي (Polycystic Ovary Syndrome) أو استخدام هرم,
,,,medgemma,وذمة (Edema),
,,,meditron,الحمل، التهاب الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة الدرقية، ورم الغدة,
,,,mistral_7b,إنتاج الأحياز المختلفة,
,,,mistral_small,احتباس السوائل,
,,,silma,حالة التبريد,
655,ما هي الحالة التي يكون فيها انقلاب الصيغة أكثر شيوعاً؟,الأطفال.,allam_7b_inst_prev,الألتصاق الخلقي,
,,,aya_expanse_8b,في الأطفال الرضع.,
,,,claude,الساركويد (Sarcoidosis),
,,,deepseek,الحمل خارج الرحم,
,,,falcon,متلازمة داون,
,,,fanar,concise line.,
,,,gemini,العدوى البكتيرية الحادة,
,,,gemma3_27b_it,الحمل,
,,,gpt52,التهاب الزائدة الدودية الحاد,
,,,jais,مرض السكري من النوع الثاني أو مقدمات السكري.,
,,,llama31_8b_inst,الانقلاب المزمن.,
,,,llama33_70b_inst,الحمل المبكر,
,,,med42,متلازمة تيرنر,
,,,medgemma,الحمل,
,,,meditron,انخفاض عدد الكريات البيضاء.,
,,,mistral_7b,حالة الدولوبية المتكررة,
,,,mistral_small,الحمل,
,,,silma,انخفاض ضغط الدم,
664,لماذا لا تتمكن الألياف العصبية المركزية من التجديد؟,عدم وجود غمد شوان,allam_7b_inst_prev,الألياف العصبية المركزية لا تتجدد.,
,,,aya_expanse_8b,عدم وجود خلايا جذعية بالغة في النخاع الشوكي.,
,,,claude,غياب خلايا شوان ووجود الخلايا الدبقية قليلة التغصنات التي تمنع التجدد,
,,,deepseek,عدم وجود غمد النخاعين في الجهاز العصبي المركزي,
,,,falcon,فقدان القدرة على التجديد مع تقدم العمر,
,,,fanar,concise line.,
,,,gemini,غياب خلايا شوان,
,,,gemma3_27b_it,تثبيط نمو المحور العصبي,
,,,gpt52,تثبيط النمو بسبب الخلايا الدبقية والمايلين المركزي,
,,,jais,لا تتجدد.,
,,,llama31_8b_inst,النخر العصبي,
,,,llama33_70b_inst,عدم قدرة الخلايا على الانقسام,
,,,med42,عدم وجود خلايا سلفية عصبية مركزية فعالة,
,,,medgemma,تثبيط نمو المحور العصبي,
,,,meditron,بسبب غياب الخلايا الدبقية.,
,,,mistral_7b,إنعاض الألياف العصبية المركزية,
,,,mistral_small,عدم وجود الخلايا الداعمة,
,,,silma,لا يوجد خلايا عمودية في النخاع.,
666,ما هي الفائدة الوظيفية من التأخير الزمني لكامن الفعل لمدة 0.1 ثانية عند مروره في العقدة الأذينية البطينية؟,إنهاء تقلص الأذينات قبل تقلص البطينات,allam_7b_inst_prev,تأخير التوصيل: تنظيم ضربات القلب,
,,,aya_expanse_8b,تنظيم إيقاع القلب,
,,,claude,السماح بإتمام انقباض الأذينين قبل انقباض البطينين,
,,,deepseek,تأخير النبض الأذيني البطيني,
,,,falcon,تنظيم الإيقاع الق reliable,
,,,fanar,تأخير أذيني بطيني100% of the proceeds from the sale of this book will be donated to the American Red Cross to help the victims of Hurricane Katrina.,
,,,gemini,إعطاء وقت كافٍ لامتلاء البطينين بالدم,
,,,gemma3_27b_it,إحداث إيقاع القلب,
,,,gpt52,إتاحة امتلاء البطينين قبل انقباضهما,
,,,jais,تسهيل الانقباض المتزامن للبطينين.,
,,,llama31_8b_inst,تقليل ضربات القلب,
,,,llama33_70b_inst,تأخير انقباض البطينين,
,,,med42,منع المثيلات المبكرة,
,,,medgemma,تأخير التوصيل الأذيني البطيني,
,,,meditron,يسمح بامتلاء البطينين بالدم قبل انقباضهما.,
,,,mistral_7b,تحسين التنبؤ المستقبلي,
,,,mistral_small,منع التقلصات البطينية المبكرة,
,,,silma,تعديل معدل ضربات القلب,
678,أين تقع المساحة الصغرى في ساحة الحس الأولية عند الإنسان؟,الجذع,allam_7b_inst_prev,الإجابة: المساحة المركزية,
,,,aya_expanse_8b,أسفل التلفيف الجبهي السفلي,
,,,claude,أطراف الأصابع,
,,,deepseek,في التلفيف خلف المركزي,
,,,falcon,تحت القفص الصدري الأيمن,
,,,fanar,concise line.,
,,,gemini,القشرة الحسية الجسدية,
,,,gemma3_27b_it,التلفيف بعد المركزي,
,,,gpt52,في الوجه الوحشي للتلفيف ما بعد المركزي,
,,,jais,الجسم الثفني,
,,,llama31_8b_inst,المنطقة الحسية الأولية,
,,,llama33_70b_inst,اللوزة البصرية,
,,,med42,قشرة رؤية أولية (V1),
,,,medgemma,القشرة الجدارية الجدارية,
,,,meditron,في الفص الجبهي.,
,,,mistral_7b,نقطة المريخ الأولى (Point of Monro 1),
,,,mistral_small,القشرة الجبهية,
,,,silma,مساحة صغرى في الحس الأولي,
687,ما هو المسؤول عن زوال الاستقطاب؟,دخول شوارد الصوديوم,allam_7b_inst_prev,الإجابة: أيونات الصوديوم,
,,,aya_expanse_8b,تدهور الغشاء الخلوي.,
,,,claude,تدفق أيونات الصوديوم إلى داخل الخلية,
,,,deepseek,دخول أيونات الصوديوم,
,,,falcon,التشتت,
,,,fanar,هو المسؤول عن زوال الاستقطاب؟,
,,,gemini,تدفق أيونات الصوديوم للداخل,
,,,gemma3_27b_it,تدفق الصوديوم,
,,,gpt52,دخول أيونات الصوديوم,
,,,jais,التسرب البوتاسيوم.,
,,,llama31_8b_inst,انعدام التروية الدموية,
,,,llama33_70b_inst,إنزيم الكولين إستيراز,
,,,med42,أدينوزين ثلاثي الفوسفات (ATP)ase,
,,,medgemma,قنوات الصوديوم المجهدة,
,,,meditron,قناة الصوديوم.,
,,,mistral_7b,نظام الهيماتيوز,
,,,mistral_small,قنوات الصوديوم,
,,,silma,الاستقطاب العكسي,
693,ما هي وظيفة الصمامات القلبية؟,توجيه مجرى الدم باتجاه واحد,allam_7b_inst_prev,تنظيم مرور الدم,
,,,aya_expanse_8b,تنظيم تدفق الدم.,
,,,claude,منع ارتجاع الدم وضمان تدفقه في اتجاه واحد,
,,,deepseek,منع ارتجاع الدم,
,,,falcon,منع رجوع الدم,
,,,fanar,القلبية؟,
,,,gemini,منع رجوع الدم,
,,,gemma3_27b_it,تنظيم تدفق الدم,
,,,gpt52,منع رجوع الدم,
,,,jais,تحافظ على تدفق الدم باتجاه واحد.,
,,,llama31_8b_inst,تفتيح الدورة الدموية.,
,,,llama33_70b_inst,تنظيم تدفق الدم,
,,,med42,منع رجوع الدم,
,,,medgemma,تنظيم تدفق الدم,
,,,meditron,تمنع تدفق الدم في الاتجاه الخاطئ.,
,,,mistral_7b,تحكم الدورة الدموية,
,,,mistral_small,تنظيم تدفق الدم,
,,,silma,منع رجوع الدم,
700,ما هو العظم الذي يتمفصل معه الغضروف الطرجهالي؟,الغضروف الحلقي,allam_7b_inst_prev,العظم الركابي,
,,,aya_expanse_8b,عظم الوتدة (Hyoid bone),
,,,claude,الغضروف الحلقي (Cricoid cartilage),
,,,deepseek,العظم الوتدي,
,,,falcon,عظم الفخذ,
,,,fanar,Answer in one concise line.,
,,,gemini,الغضروف الحلقي,correct
,,,gemma3_27b_it,عظم القص,
,,,gpt52,عظم القصبة,
,,,jais,العظم الوجني,
,,,llama31_8b_inst,العظم القذالي.,
,,,llama33_70b_inst,العظم الصدري,
,,,med42,عظم القصيبة (Sternum),
,,,medgemma,عظم القص,
,,,meditron,عظم الفك السفلي.,
,,,mistral_7b,عظم الجنين,
,,,mistral_small,عظم الترقوة,
,,,silma,الكتف,
715,ما الذي يحول الببسين إلى مولد ببسين؟,حمض كلور الماء,allam_7b_inst_prev,البيبسينوجين,
,,,aya_expanse_8b,التحفيز الهضمي والهرمونات.,
,,,claude,حمض الهيدروكلوريك (HCl),
,,,deepseek,حمض الهيدروكلوريك,
,,,falcon,التريبتوفان,
,,,fanar,ول الببسين إلى مولد ببسين؟,
,,,gemini,حمض الهيدروكلوريك,
,,,gemma3_27b_it,حمض الهيدروكلوريك,
,,,gpt52,حمض الهيدروكلوريك,
,,,jais,الببسينوجين,
,,,llama31_8b_inst,الغدة الدرقية.,
,,,llama33_70b_inst,البروتياز,
,,,med42,الببسينوجين,
,,,medgemma,حمض الهيدروكلوريك,
,,,meditron,الببسينوجين.,
,,,mistral_7b,تحويل الببسين إلى مولد ببسين: تحويل الببسين الخارجي إلى ببسين داخلي,
,,,mistral_small,حمض الهيدروكلوريك,
,,,silma,حمض الهيدروكلوريك,
719,ما الذي يؤدي إلى نقصان حجم الدفقة بزيادته؟,معدل دقات القلب.,allam_7b_inst_prev,انسداد مخرج المثانة,
,,,aya_expanse_8b,تضيق الأوعية الدموية,
,,,claude,الحمل البعدي (Afterload),
,,,deepseek,فرط إدرار البول التناضحي,
,,,falcon,المقاومة,
,,,fanar,؟,
,,,gemini,الحمل اللاحق,
,,,gemma3_27b_it,تضيق الأبهر,
,,,gpt52,تسرع القلب الشديد,
,,,jais,زيادة معدل التدفق.,
,,,llama31_8b_inst,انقباض العضلة القلبية.,
,,,llama33_70b_inst,الضغط الشرياني,
,,,med42,فرط التقلص,
,,,medgemma,تضيق الصمام الأبهري,
,,,meditron,زيادة المقاومة المحيطية.,
,,,mistral_7b,تهاجم نسبي,
,,,mistral_small,نقصان مقاومة الوعائية,
,,,silma,زيادة التضاريس,
722,ما هي المادة التي تشتق منها الهرمونات الأمينية؟,التيروزين,allam_7b_inst_prev,الأمينوبيوتيريك أسيد,
,,,aya_expanse_8b,الأحماض الأمينية,
,,,claude,التيروزين,correct
,,,deepseek,التيروزين,correct
,,,falcon,الأحماض الأمينية,
,,,fanar,مونات الأمينية؟,
,,,gemini,التيروسين,
,,,gemma3_27b_it,التربتوفان والتيروزين,
,,,gpt52,الحمض الأميني تيروزين,
,,,jais,أمينات حيوية.,
,,,llama31_8b_inst,البروتين,
,,,llama33_70b_inst,الأحماض الأمينية,
,,,med42,أمينو حمضات,
,,,medgemma,الأحماض الأمينية,
,,,meditron,التريبتوفان.,
,,,mistral_7b,دهون الشعر المنقوشة (Glandulae suprarenales),
,,,mistral_small,الأحماض الأمينية,
,,,silma,حمض أميني,
734,كيف يتم إلغاء التأثير التثبيطي للتروبونين؟,الكالسيوم,allam_7b_inst_prev,زيادة الكالسيوم,
,,,aya_expanse_8b,بزيادة مستويات الكالسيوم داخل الخلية.,
,,,claude,ارتباط الكالسيوم بالتروبونين C,
,,,deepseek,ربط الكالسيوم بالتروبونين سي,
,,,falcon,تحفيز المستقبلات β-أدرينالية,
,,,fanar,ثبيطي للتروبونين؟,
,,,gemini,ارتباط الكالسيوم بالتروبونين C,
,,,gemma3_27b_it,الكالسيوم المرتفع,
,,,gpt52,ارتباط الكالسيوم بالتروبونين C,
,,,jais,ارتباط الكالسيوم بالتروبونين,
,,,llama31_8b_inst,بتقديم الأتروبين.,
,,,llama33_70b_inst,بإنزيم الأستريز,
,,,med42,تروبيستاتين (Tropiostatin),
,,,medgemma,أيونات الكالسيوم,
,,,meditron,عن طريق إعطاء المضادات الحيوية.,
,,,mistral_7b,إنهاء تروبونين - بوصفة,
,,,mistral_small,زيادة الكالسيوم,
,,,silma,بتثبيط إنزيمات التروبونين,
748,إلام يؤدي زيحان منحنى تفارق الأكسجين الخضاب نحو اليمين؟,نقص النسبة المئوية لإشباع الخضاب بالأكسجين,allam_7b_inst_prev,نقص الأكسجة,
,,,aya_expanse_8b,انخفاض تدفق الدم إلى الأطراف,
,,,claude,انخفاض ألفة الهيموغلوبين للأكسجين (تسهيل تحرر الأكسجين للأنسجة),
,,,deepseek,زيادة تقارب الأكسجين للهيموغلوبين,
,,,falcon,قصور القلب الأيمن,
,,,fanar,زيادة تركيز الأكسجين في الدم,
,,,gemini,نقص ألفة الخضاب للأكسجين,
,,,gemma3_27b_it,نقص الأكسجين النسبي,
,,,gpt52,زيادة تحرر الأكسجين للأنسجة,
,,,jais,نقص الأكسجة (Hypoxia) النسبي.,
,,,llama31_8b_inst,انسداد الشريان التاجي.,
,,,llama33_70b_inst,فرط ضغط الدم,
,,,med42,شريان رئوي أيسر,
,,,medgemma,انخفاض ألفة الهيموغلوبين للأكسجين,
,,,meditron,زيادة في P50.,
,,,mistral_7b,إنتهاء المنحنى الزيحاني,
,,,mistral_small,نقص الأكسجين,
,,,silma,زيادة في ضغط الأكسجين,
755,ماذا يحدث لمعدل الترشيح الكبيبي عندما يصبح ضغط الدم 100 ممز؟,يبقي ثابتا,allam_7b_inst_prev,معدل الترشيح الكبيبي ينخفض.,
,,,aya_expanse_8b,ينخفض معدل الترشيح الكبيبي.,
,,,claude,لا يتغير (يبقى طبيعياً بفضل التنظيم الذاتي),
,,,deepseek,يزداد معدل الترشيح الكبيبي,
,,,falcon,ينخفض,
,,,fanar,ينخفض معدل الترشيح الكبيبي.,
,,,gemini,يقل,
,,,gemma3_27b_it,انخفاض الترشيح الكبيبي,
,,,gpt52,يزداد معدل الترشيح الكبيبي,
,,,jais,انخفاض معدل الترشيح الكبيبي,
,,,llama31_8b_inst,تضطر إلى الزيادة.,
,,,llama33_70b_inst,ينخفض معدل الترشيح الكبيبي.,
,,,med42,يقل معدل الترشيح الكبيبي,
,,,medgemma,انخفاض معدل الترشيح الكبيبي,
,,,meditron,يقلل من معدل الترشيح الكبيبي.,
,,,mistral_7b,تعرض إلى ضغط دم عالي,
,,,mistral_small,ينخفض,
,,,silma,يزداد,
759,ما الذي يحدث مباشرة قبل صوت القلب الثاني؟,الموجة T.,allam_7b_inst_prev,إغلاق الصمام التاجي,
,,,aya_expanse_8b,انقباض البطين الأيمن,
,,,claude,شق الأبهر (Incisura/Dicrotic notch),
,,,deepseek,إغلاق الصمام الأبهري والصمام الرئوي,
,,,falcon,Output:,
,,,fanar,القلب الثاني؟,
,,,gemini,إغلاق الصمامين الأبهري والرئوي,
,,,gemma3_27b_it,انقباض البطينين,
,,,gpt52,إغلاق الصمام الأبهري والرئوي,
,,,jais,انبساط الأذيني.,
,,,llama31_8b_inst,انقباض البطين الأيمن.,
,,,llama33_70b_inst,إغلاق الصمامات البولmonary والتريوسبيد,
,,,med42,إغلاق الصمات التاجية (closure of semilunar valves),
,,,medgemma,إغلاق الصمام الأبهري,
,,,meditron,إغلاق الصمامات الأورطية.,
,,,mistral_7b,قلق القلب الثاني,
,,,mistral_small,انغلاق الصمامات الأبهري والثلاثي,
,,,silma,انغلاق الصمامات التاجية,
760,ما هو الأنزيم المعوي الذي يحول مولد التربسين إلى تربسين؟,الإنتيروكيناز,allam_7b_inst_prev,التربسينوجين,
,,,aya_expanse_8b,التربسينوجين (Trypsinogen),
,,,claude,إنتروكيناز (Enterokinase),
,,,deepseek,إنتروبيبتيداز,
,,,falcon,إنتيلوكتين,
,,,fanar,التربسينوجين,
,,,gemini,إنتروكيناز,
,,,gemma3_27b_it,بروتياز السيرين,
,,,gpt52,الإنتيروببتيداز,
,,,jais,تيروديسما,
,,,llama31_8b_inst,إنزيم كينورسين,
,,,llama33_70b_inst,إنتربسين,
,,,med42,إنتربيسين 7 (Enteropeptidase 7) أو سابقاً إنتروكيناز (Enterokinase),
,,,medgemma,إنتروبيبتيداز,
,,,meditron,إنتروكيناز.,
,,,mistral_7b,بويكلين,
,,,mistral_small,إنتروبسيناز,
,,,silma,ترينسين,
778,ما هو الإحصاء؟,أي دالة في العينة لا تتبع وسيط مجهول,allam_7b_inst_prev,تعداد الدم الكامل,
,,,aya_expanse_8b,علم جمع البيانات وتحليلها.,
,,,claude,علم جمع وتحليل وتفسير البيانات,
,,,deepseek,جمع وتحليل البيانات الصحية,
,,,falcon,تعداد السكان,
,,,fanar,الإحصاء؟,
,,,gemini,علم جمع وتحليل وتفسير البيانات,
,,,gemma3_27b_it,تعداد السكان,
,,,gpt52,علم جمع وتحليل البيانات,
,,,jais,علم البيانات.,
,,,llama31_8b_inst,التهاب الجلد المزمن.,
,,,llama33_70b_inst,الإحصاء هو علم جمع وتحليل البيانات.,
,,,med42,تعداد الخلايا,
,,,medgemma,علم الإحصاء,
,,,meditron,علم يهتم بجمع البيانات وتحليلها وتفسيرها.,
,,,mistral_7b,إحصاء الجسم الجيني,
,,,mistral_small,عدد الوفيات,
,,,silma,الاستقصاء,
782,ما هو الغرض من استخدام الجداول التكرارية؟,البيانات الوصفية والكمية,allam_7b_inst_prev,لا ينطبق,
,,,aya_expanse_8b,تحليل البيانات وتنظيمها.,
,,,claude,تلخيص البيانات وتنظيمها لتسهيل وصفها وتحليلها,
,,,deepseek,تنظيم وعرض البيانات الإحصائية,
,,,falcon,تقييم وظائف الكلى,
,,,fanar,concise line.,
,,,gemini,تنظيم البيانات وتلخيصها,
,,,gemma3_27b_it,مراقبة الأعراض,
,,,gpt52,تلخيص توزيع التكرارات,
,,,jais,تحليل البيانات التلخيصي.,
,,,llama31_8b_inst,التحكم على الحالات المزمنة.,
,,,llama33_70b_inst,تقييم الحالة الصحية,
,,,med42,تتبع النتائج والاستجابة للعلاج,
,,,medgemma,تحليل التكرار,
,,,meditron,لتحديد التكرار أو النسبة المئوية للقيم في مجموعة بيانات.,
,,,mistral_7b,للتعليم والتربية,
,,,mistral_small,تقييم التكرار,
,,,silma,تسهيل عملية التعلم,
792,ما هو المقياس الذي يمكن استخدام الطرق الإحصائية الوسيطية فيه؟,النسبي,allam_7b_inst_prev,الانحراف المعياري,
,,,aya_expanse_8b,البيانات غير الطبيعية أو غير المتساوية.,
,,,claude,المقياس الترتيبي,
,,,deepseek,مقياس رتبي,
,,,falcon,البيانات المقيسة,
,,,fanar,اس الذي يمكن استخدام الطرق الإحصائية الوسيطية فيه؟,
,,,gemini,المقياس الفتري,
,,,gemma3_27b_it,بيانات ترتيبية,
,,,gpt52,المقياس الرتبي,
,,,jais,البيانات الترتيبية,
,,,llama31_8b_inst,مقياس متقطع,
,,,llama33_70b_inst,مقياس ترتيبي,
,,,med42,مقياس رتبة (Ordinal Scale),
,,,medgemma,مقياس ترتيبي,
,,,meditron,مقياس ترتيبي.,
,,,mistral_7b,سكايل بيسل,
,,,mistral_small,مقياس ترتيبي,
,,,silma,النمو السنوي للخضروات في حديقة,
826,ما هو المقياس المستخدم لقياس خضاب الدم؟,النسبي,allam_7b_inst_prev,مستوى الهيموغلوبين,
,,,aya_expanse_8b,الهيموغلوبين (g/dL),
,,,claude,Sahli hemoglobinometer (مقياس ساهلي),
,,,deepseek,غرام لكل ديسيلتر,
,,,falcon,جهاز هايموكروماتوغراف,
,,,fanar,ئي,
,,,gemini,غرام لكل ديسيلتر,
,,,gemma3_27b_it,قياس الهيموغلوبين,
,,,gpt52,اختبار الهيموغلوبينومتر,
,,,jais,الهيموجلوبين.,
,,,llama31_8b_inst,مقياس هيموغلوبين,
,,,llama33_70b_inst,غرامات لكل ديسيلتر,
,,,med42,غاما-جلوبين,
,,,medgemma,مقياس الطيف الضوئي,
,,,meditron,الهيموغلوبين.,
,,,mistral_7b,Hb (Hemoglobin),
,,,mistral_small,مقياس هيموغلوبين,
,,,silma,مقياس خضاب الدم,
827,ما هو نوع المصدر الذي تمثله البيانات التي نحصل عليها من الشركة أو المؤسسة من واقع مستنداتها وسجلاتها وفواتيرها وتقاريرها الدورية؟,داخلي,allam_7b_inst_prev,بيانات ثانوية,
,,,aya_expanse_8b,بيانات مالية محاسبية,
,,,claude,مصادر داخلية,
,,,deepseek,البيانات الأولية,
,,,falcon,بيانات أولية,
,,,fanar,مصدر داخلي,
,,,gemini,بيانات داخلية,
,,,gemma3_27b_it,بيانات أولية,
,,,gpt52,مصادر ثانوية داخلية,
,,,jais,بيانات غير مهيكلة,
,,,llama31_8b_inst,مصدر أولي,
,,,llama33_70b_inst,مصدر أولي,
,,,med42,مصدر أولي (Primary Source),
,,,medgemma,بيانات داخلية,
,,,meditron,مصدر ثانوي.,
,,,mistral_7b,نقطة بيانات المستندات,
,,,mistral_small,مصدر وثائقي,
,,,silma,مصدر داخلي,
829,ما هو نوع الإحصاء الذي يتضمن جمع البيانات وتنظيمها وتوصيفها وتبويبها وتلخيصها؟,الوصفي,allam_7b_inst_prev,الإحصاء الوصفي,
,,,aya_expanse_8b,الإحصاء الوصفي,
,,,claude,الإحصاء الوصفي,
,,,deepseek,الإحصاء الوصفي,
,,,falcon,الإحصاء الوصفي,
,,,fanar,إحصاء الوصف,
,,,gemini,الإحصاء الوصفي,
,,,gemma3_27b_it,إحصاء وصفي,
,,,gpt52,الإحصاء الوصفي,
,,,jais,الإحصاء الوصفي,
,,,llama31_8b_inst,الإحصاء الإpidemiologiy,
,,,llama33_70b_inst,إحصاء وصفي,
,,,med42,إحصاء وصفي,
,,,medgemma,الإحصاء الوصفي,
