id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,Reason ,Confidence 
3423,Y3,عند إصابة المرأة بالمقومات القندية المرة الأولى أثناء الحمل يحدث كل ما يلي ما عدا:,Microbiology,Microbiology,اجهاض,حدوث حمل خارج الرحم,استسقاء دماغ عند الوليد,تكلمات داخل دماغية عند الوليد,التهاب شبكية ومشيمية عند الوليد,,B,ABCDE,,
3424,Y5,فيما يخص الحجاج:,Ophthalmology,Ophthalmology,يضم المقلة والعصب الشمي,له 4 جدران,جداره الإنسي مربع الشكل,جدرانه الباقية مثلثية وذروتها في الخلف,العصب البصري طوله (25) - (30) ملم,,C,ABCDE,,
3425,Y5,في الحروق الكيميائية:,Ophthalmology,Ophthalmology,تصيب المواد الحامضية الطبقات السطحية وتنفذ المواد القلوية إلى البيت الأمامي.,تصيب المواد القلوية الطبقات السطحية وتنفذ المواد الحامضية إلي البيت الأمامي,ينفذ كل من المواد الحامضية والقلوية للبيت الأمامي الحامضية إلى البيت الأمامي.,تصيب كل من المواد الحامضية والقلوية الطبقة السطحية فقط.,لا شيء مما سبق.,,A,ABCDE,,
3426,Y5,تنجم الشعرة عادة عن ما يلي عدا:,Ophthalmology,Ophthalmology,التراخوما,حروق الملتحمة,قرحات القرنية,رضوض الأجفان,تندبات الملتحمة,,C,ABCDE,,
3427,Y5,يعالج ورم الجذيعات الشبكية بما يلي عدا:,Ophthalmology,Ophthalmology,استئصال العين,تفريغ العين,التخثير الضوئي,العلاج الشعاعي,العلاج الكيميائي,,C,ABCDE,,
3428,Y5,داء بهجت:,Ophthalmology,Ophthalmology,مرض مزمن إنذاره جيد,يشاهد عند العقد الأول والثاني من الحياة,قد ينتهي بالتهاب عين ودي,إصابة القسم الأمامي للعنبة أكثر شيوعاً من الخلفي,كل ما سبق خطأ,,E,ABCDE,,
3429,Y5,يتألف الجدار الأنسي للحجاج من كل مما يلي ما عدا:,Ophthalmology,Ophthalmology,الصفيحة الورقية للعظم الغربالي,العظم الوتدي,العظم الدمعي,العظم الوجني,العظم الفكي,,D,ABCDE,,
3430,Y5,يتميز التهاب ما فوق الصلبة بما يلي عدا:,Ophthalmology,Ophthalmology,يحدث كارتكاس أليرجائي لذيفانات داخلية,وجود عقيدة,يوجد تبيغ في الأوعية العميقة,الملتحمة متحركة فوق العقيدة,يمكن أن تؤدي إلى حدوث العنبة الصلبية,,E,ABCDE,,
3431,Y5,كل ما يلي صحيح ما عدا:,Ophthalmology,Ophthalmology,غشاء بروك يفصل المشيمية عن الأتيليوم الشبكي الصباغي,الجسم الهدبي مسؤول عن إفراز الخلط الزجاجي,تعصب العضلة الموسعة للحدقة من العصب الودي,تتوضع العضلة الموسعة للحدقة في القسم المحيطي للقزحية,تتعصب العضلة المقبضة بعصب نظير ودي,,B,ABCDE,,
3432,Y5,أي العلامات التالية أكثر أهمية في توجيه التشخيص نحو التهاب القزحية والجسم الهدبي:,Ophthalmology,Ophthalmology,عين حمراء مؤلمة,خوف الضياء,الترسبات خلف القرنية,توسع الحدقة,,,D,ABCD,,
3433,Y5,أي من الموجودات التالية يجعلنا نصف اعتلال الشبكية السكرية بأنه تكاثري:,Ophthalmology,Ophthalmology,وجود نزوف نقطية,وجود نزوف بقعية,وجود نتجات قاسية,وجود أوعية مستحدثة,وجود أمهات دم دقيقة,,C,ABCDE,,
3434,Y5,أي الأمراض التالية أقلها ترافقاً بالتهاب قزحية وجسم هدبي:,Ophthalmology,Ophthalmology,التهاب الفقار اللاصق,التهاب المفاصل العديد عند الأطفال,متلازمة رايتر,التهاب المفاصل الصدفي,التهاب المفاصل الرثياني,,C,ABCDE,,
3435,Y5,يمكن أن يحدث الساد نتيجة للتعرض لما يلي عدا:,Ophthalmology,Ophthalmology,الأشعة تحت الحمراء,الأشعة فوق البنفسجية,الأشعة السينية,الأشعة المئينة,الأمواج فوق الصوتية,,E,ABCDE,,
3436,Y5,في التهاب المشيمية نصادف الأشكال الالتهابية التالية: (الخاطئة),Ophthalmology,Ophthalmology,التهاب مشيمية نتحي,التهاب مشيمية منتثر,التهاب مشيمية أمامية,التهاب مشيمية مركزي,التهاب مشيمية زاوي,,E,ABCDE,,
3437,Y5,التهاب الهلل الحجاجي قبل الحجاب يترافق ب:,Ophthalmology,Ophthalmology,جحوظ,تحدد حركة العين,اضطراب التفاعل الحدقي,كل ما سبق خطأ,كل ما سبق صحيح,,D,ABCDE,,
3438,Y5,الشعرة Trichiasis:,Ophthalmology,Ophthalmology,هي الاتجاه الخلفي لبعض الأهداب عوضاً عن اتجاهها للأمام,هي التهاب حاد يصيب أشعار الأجفان,هي صف إضافي من الأهداب خلف غدد ميبوميان,هي تساقط الأهداب العفوي,هي التهاب حاد في غدد زايس,,A,ABCDE,,
3439,Y5,يتميز جفاف العين الناجم عن نقص إفراز الطبقة المخاطبة بما يلي عدا: f. يشاهد انقطاع سريع للفلم الدمعي,Ophthalmology,Ophthalmology,يحدث نتيجة تخريب الخلايا الكأسية,تعتبر متلازمة جوغرن من أهم أسبابه,يشاهد في الفقاع الكاذب,يبقى اختبار شيرمر طبيعياً,يشاهد انقطاع سريع للفلم الدمعي,,B,ABCDE,,
3440,Y5,في جروح القرنية.. كل ما يلي صح عدا:,Ophthalmology,Ophthalmology,قد تترك الصغيرة منها (1-2) ملم دون خياطة,تتراوح من صغيرة إلى ممتدة لتشمل الصلبة,إذا ترافق بتفتق قزحية ترح لمكانها أو نقطع الجزء المنفتق,تخاط بخيوط مجهرية,نقوم بتصنيع قرنية ثاقب إذا حصلت ندبة قرنية محيطية,,E,ABCDE,,
3441,Y5,يتغذى العصب البصري شريانياً من:,Ophthalmology,Ophthalmology,الشرايين الهدبية الخلفية القصيرة,الشرايين الهدبية الخلفية الطويلة,الشرايين الهدبية الأمامية,الشريان الشبكي المركزي,الإجابات a و d صحيحة,,E,ABCDE,,
3442,Y5,تشتق أقسام الجسم الهدبي التالية من الوريقة المتوسطة عدا:,Ophthalmology,Ophthalmology,الطبقة الظهارية الصباغية,المسافة فوق المشيمية,الطبقة العضلية,الصفيحة القاعدية (غشاء بروك),الطبقة الوعائية,,A,ABCDE,,
3443,Y5,من الأسباب الشائعة لوذمة الأجفان ما يلي عدا:,Ophthalmology,Ophthalmology,رضوض الأجفان,القصور الكلوي,نار حالات تحسسية,التراخوما,السمع الحشرات,,D,ABCDE,,
3444,Y5,كل مما يلي من أسباب التهاب العنبة الأمامية ما عدا: #26#,Ophthalmology,Ophthalmology,التهاب القزحية والجسم الهدبي المتباين اللون لفوكس,التهاب القرنية والعنبة بحمة العقبولة,التهاب العنبة السلي,متلازمة رايتر,التهاب العنبة الناجم عن العدسة المزروعة داخل العين,,C,ABCDE,,
3445,Y5,يتميز الجحوظ الغدي في فرط نشاط الدرق بما يلي عدا:,Ophthalmology,Ophthalmology,يحدث بين العقدين الرابع والخامس,يصيب الذكور أكثر من الإناث,قد يكون أحادي الجانب,يكون الجحوظ محوريا عادة,يحدث في غياب المظاهر السريرية والمخبرية لفرط نشاط الدرق,,B,ABCDE,,
3446,Y5,فيما يخص الجدار العلوي للحجاج:,Ophthalmology,Ophthalmology,يسمى السقف,يفصل جوف الحجاج عن النص الجبهي للدماغ,يتألف من العظم الجبهي في الأمام والجناح الصغير للعظم الوتدي في الخلف,حفرة الغدة الدمعية تقع في القسم الأمامي الإنسي من هذا الجدار,يجاوره الجيب الجبهي,,D,ABCDE,,
3447,Y5,قد تؤدي رضوض العين الكليلة إلى كل ما يلي عدا:,Ophthalmology,Ophthalmology,التهاب القزحية والجسم الهدبي,عكر أو سوية دموية في البيت الأمامي,ساد رضي,خلع أو تحت خلع الجسم البلوري,لا يتأثر العصب البصري,,E,ABCDE,,
3448,Y5,في الجحوظ العيني ما عدا:,Ophthalmology,Ophthalmology,يقاس بمقياس هرتل,ويمكن قياسه بمسطرة مدرجة,قد يكون وحيد او ثنائي الجانبي,يكون محوري اذا كانت المقلة مركزية,يكون محوري اذا كانت المقلة مائلة,,E,ABCDE,,
3449,Y5,أي العبارات التالية التي تصف الشكل الجاف من التنكس الشيخي في البقعة الصفراء صحيحة:,Ophthalmology,Ophthalmology,سببه تجفاف في منطقة البقعة,يسمى شيخياً لأنه يشاهد فقط بعد الثمانين,لا تتأثر حدة الرؤية عادةً إذا لم يترافق بساد,تعتبر البراريق شكلاً سابقاً له,يبدي قمر العين أوعية مستحدثة تحت الشبكية,,D,ABCDE,,
3450,Y5,في الورم الكاذب للحجاج:,Ophthalmology,Ophthalmology,ثنائي الجانب عند الاطفال في ثلث الحالات,ثنائي الجانب عند الكبار دائما,يؤدي لزيادة حركة المقلة وهو شائع,المعالجة الشعاعية مجدية دائما,الخزعة غير ضرورية في الحالات المعندة,,A,ABCDE,,
3451,Y5,العرض الأكثر شيوعاً في الوذمة الركودية في العصب البصري: A+B (d A+C (e,Ophthalmology,Ophthalmology,تشوشات عابرة في الرؤية,الصداع,فقد موقت للرؤية,A+B,A+C,,B,ABCDE,,
3452,Y5,العدسة جنينيا:,Ophthalmology,Ophthalmology,تنشأ العدسة من الطبقة المتوسطة,تتغمد العدسة في الشهر الجنيني الثاني,ينفصل الحويصل في الشهر الجنيني الثالث,تتمايز في الشهر الجنيني السادس,تتمايز قبل الولادة,,E,ABCDE,,
3453,Y5,في رضوض العين الكليلة (اختر الصح):,Ophthalmology,Ophthalmology,لا نعطي شالات المط المطابقة,الستيروئيدات مضاد استطباب,موسعات الحدقة غير مفيدة,نلاحظ التهاب الجسم الهدبي والقزحية,كل ما سبق صح,,D,ABCDE,,
3454,Y5,تدعى الغدد الزيتية الموجودة في سماكة الرصغ والتي تنفتح على حافة الأهداب:,Ophthalmology,Ophthalmology,غدد مول,غدد ميبوميان,غدد زايس,غدد مول,غدد ولفرانج,,B,ABCDE,,
3455,Y5,استحالة العصب البصري لليبر:,Ophthalmology,Ophthalmology,هي ضمور ثانوي في العصب البصري,يرتبط بالصبغي X وبالتالي يصيب الإناث فقط,الضمور مترقي ويصيب الرؤية المركزية,"الإجابة b, c",كل ما سبق,,C,ABCDE,,
3456,Y5,في التهاب القزحية كل مما يلي صحيح ما عدا:,Ophthalmology,Ophthalmology,ارتفاع ضغط العين في المرحلة الفعالة,صعوبة تصريف الخلط المائي,ضرورة استخدام الأتروبين,اختلاط التشخيص مع الزرق الحاد,العلاج متماثل في كلا الحالتين,,E,ABCDE,,
3457,Y5,يتألف الجدار السفلي للحجاج من كل مما يلي ما عدا:,Ophthalmology,Ophthalmology,عظم الفك العلوي,العظم الوجني,العظم الحنكي,العظم الغربالي,,,D,ABCDE,,
3458,Y5,يتصف التهاب العصب البصري خلف المقلة بما يلي:,Ophthalmology,Ophthalmology,خال من العلامات,نقص الرؤية,عتمة مركزية,تضيق ساحة بصرية محيطي للأحمر والأخضر,كل ما سبق صحيح,,E,ABCDE,,
3459,Y5,يبدي تنكس الشبكية الصباغي المظاهر التالية عدا:,Ophthalmology,Ophthalmology,توضعات سباغية نجمية الشكل,نقص معمم في أقطار الشرايين,شحوب حليمة العصب البصري,عدم اتضاح حدود الحليمة,تغيرات شديدة في تخطيط الشبكية الكهربائي,,D,ABCDE,,
3460,Y5,كل ما يلي يصحح اللابؤرية المنتظمة عدا:,Ophthalmology,Ophthalmology,النظارات,العدسات اللاصقة,زرع القرنية,عدسات اسوانية,الاكسيمر ليزر,,C,ABCDE,,
3461,Y5,عند تشكل الساد الرضي:,Ophthalmology,Ophthalmology,يمر الخلط المائي إلى ألياف الجسم البلوري محدثاً كثافات بشكل ورقة.,يمر الخلط المائي إلى ألياف الجسم البلوري محدثاً كثافات بشكل وردة.,يمر الخلط الزجاجي إلى ألياف الجسم البلوري محدثاً كثافات بشكل ورقة.,يمر الخلط الزجاجي إلى ألياف الجسم البلوري محدثاً كثافات بشكل وردة.,لا شيء مما سبق.,,B,ABCDE,,
3462,Y5,تستخدم شالات العضلة الهدبية فيما يلى عدا:,Ophthalmology,Ophthalmology,فحص أسواء الانكسار,بعد جراحة الزرق,قرحات القرنية,التهاب العصب البصري,,,D,ABCD,,
3463,Y5,في العصب البصري كل مما يلي صحيح ما عدا:,Ophthalmology,Ophthalmology,يتكون من محاوير الخلايا العقدية في الشبكية,تتجمع في حليمة العصب البصري في حزم منفصلة,تمر عبر الصفيحة المصفوية من كرة العين,تمر ألياف العصب البصري الآتية من القسم الأنسي من الشبكية عبر الجزء الوحشي من حليمة العصب البصري,تمر الحزم الآتية من البقعة الصفراء عبر الحافة الصدغية للحليمة,,D,ABCDE,,
3464,Y5,أي العبارات التالية المتعلقة بالقرنية صحيحة:,Ophthalmology,Ophthalmology,تحدب الوجه الأمامي 12 مم,تتغذى خارجياً من أوعية الملتحمة,ينتهي تشكلها قبل الولادة مباشرة,تتغذى الطبقات الداخلية عبر الخلط المائي,تشكل القرنية سطحاً كروياً مثالثاً,,D,ABCDE,,
3465,Y5,قد تخفي جرحا صلبيا,Ophthalmology,Ophthalmology,جروح الجسم البلوري,جروح الصلبة,جروح القرنية,جروح الملتحمة,,,D,ABCD,,
3466,Y5,الطبقة المائية للدمع:,Ophthalmology,Ophthalmology,تكون الطبقة الخلفية للفيلم الدمعي,تكون الطبقة الوسطى لفيلم الدمع,تكون الطبقة الأمامية لفيلم الدمع,تفرز من غدد مانز في الملتحمة,تفرز من غدد هنلة في الملتحمة,,B,ABCDE,,
3467,Y5,يتميز الحول الكامن بأنه:,Ophthalmology,Ophthalmology,أكثر كثر أنواع الحول شيوعاً,يظهر عند تعطل الدمج,قد يترافق بألم خلف المقلة,كل ما سبق صحيح,كل ما سبق خطأ,,D,ABCDE,,
3468,Y5,في الحجاج ماعدا:,Ophthalmology,Ophthalmology,له أربعة جدارن,الجدار العلوي يفصل الحجاج عن الفص الجبهي للدماغ,الجدار السفلي يشكل سقف الجيب الفكي,الجدار الأنسي رقيق جدا ومثقب ويجاور الخلايا الغربالية والجيب الوتدي,الجدار الخلفي عميق ويشكل نقطة محورية للجحوظ المستقيم,,E,ABCDE,,
3469,Y5,في اعتلال العصب البصري الإقفاري، كل مما يلي صحيح ما عدا:,Ophthalmology,Ophthalmology,يحدث لدى المرضى بعمر 45- 65 سنة,يتميز ببدء مترقي,يظهر لدى مرضى ارتفاع الضغط,يرتبط بالتهاب الش ا ريين كالتهاب الشريان الصدغي,تظهر عتمة نصفية علوية أو سفلية,,B,ABCDE,,
3470,Y5,أي مما يلي تستبعد إصابته في الجحوظ الورمي (الصحيحة):,Ophthalmology,Ophthalmology,العصب البصري,العصب الثالث,العصب السادس,العصب العاشر,كل ما سبق لا يصاب,,D,ABCDE,,
3471,Y5,إن أحد الموجودات التالية في اعتلال الشبكية السكري يؤدي إلى اعتباره ما قبل تكاثري,Ophthalmology,Ophthalmology,وجود أمهات ثم دقيقة,وجود بقع ندف القطن,وجود نزوف تمشية ضمن الشبكية,وجود نوع على القزحية,وجود وذمة في للطخة,,B,ABCDE,,
3472,Y5,العصب الذي يصاب في متلازمة قاع الحجاج هو :,Ophthalmology,Ophthalmology,العصب العيني,العصب الوجهي,العصب الفكي العلوي,العصب الدمعي,العصب المحرك العيني,,C,ABCDE,,
3473,Y5,في بقاء الغشاء الحدقي:,Ophthalmology,Ophthalmology,ينجم عن بقاء جزء من الغمد الوعائي الخلفي,تشاهد بقاياه بشكل خيوط دقيقة تمتد عبر الحدقة,تتميز عن الالتصاقات الخلفية الالتهابية بأنها تبدأ من الوجه الأمامي للقزحية إلى المحيط,الغشاء الحدقي الجنيني يتألف من أوعية دموية وخلايا صباغية,الخلايا الصباغية قطرها 5-6 ملم و هي لا تؤثر في القدرة البصرية,,A,ABCDE,,
3474,Y5,يتميز الزرق الأولي مفتوح الزاوية بما يلي عدا:,Ophthalmology,Ophthalmology,أكثر أنواع الزرق شيوعاً,يزداد حدوثه بتقدم العمر,تطوره بطيء مترق,أحادي الجانب غالباً,يوجد له استعداد وراثي,,D,ABCDE,,
3475,Y5,يتصف العصب البصري بما يلي:,Ophthalmology,Ophthalmology,كون من ألياف العصي والمخاريط في الشبكية,تكون الألياف العصبية فيه معراة من غمد النخاعين,يحاط بالسحايا,جزئه داخل الحجاج هو أقصر أج ا زئه,كل ما ذكر صحيح,,C,ABCDE,,
3476,Y5,يتصف التهاب العصب البصري الكاذب الإجابة الصحيحة:,Ophthalmology,Ophthalmology,الأجسام الهيالينية على الحليمة,اقفار في حليمه العصب البصري,الوذمة الركودية في العصب البصري,كل ما سبق صحيح,كل ما سبق خطأ,,A,ABCDE,,
3477,Y5,من العوامل المؤهبة للزرق البدني المغلق الزاوية:,Ophthalmology,Ophthalmology,البلورة الأمامي تسبياً,الغرفة الأمامية الضحلة,اقتراب القزحية المحيطية من القرنية,كل ما ورد صحيح,كل ما ورد خطأ,,D,ABCDE,,
3478,Y5,الأمراض العينية التي تترافق بالزرق المزمن البسيطة:,Ophthalmology,Ophthalmology,مد البصر,التهاب الشبكية الصباغي,الساد,التصلب المنتشر,ضمور الشبكية والمشيمية,,E,ABCDE,,
3479,Y5,تتميز القرنية المخروطية بما يلي عدا:,Ophthalmology,Ophthalmology,استحالة وراثية,ثنائية الجانب غالباً,تظهر الأعراض عادة في سن البلوغ,تؤدي إلى حرج بصر,تؤدي إلى مد بصر,,E,ABCDE,,
3480,Y5,أي العلامات التالية أكثر أهمية في تمييز التهاب حليمة العصب البصري عن وذمة العصب البصري:,Ophthalmology,Ophthalmology,التدني الحاد السريع في حدة الرؤية,شدة الانتفاخ في الحليمة,وجود النزوف حول الحليمة,وجود النزوف حول الحليمة,وجود اضطراب في الساحة البصرية,كون الحالة ثنائية الجانب,A,ABCDEF,,
3481,Y5,كل ما يلي صحيح عن الجحوظ الدرقي السليم ما عدا :,Ophthalmology,Ophthalmology,يترافق بانكماش الجفن أو الجفنين العلويين,يترافق بانتفاخ الجفن أو الجفنين السفليين,يترافق بامتلاء الثلم تحت الجفن,يترافق أحيانا بالشفع,غير قابل للرد,,E,ABCDE,,
3482,Y5,في انسداد الوريد الشبكي المركزي كل ما يل يصح ما عدا:,Ophthalmology,Ophthalmology,تشاهد نزوف واسعة لهبية,يستطب إجراء الأرغون ليزر,وذمة عصب بصري,نشوء أوعية حديثة في القزحية,يحدث في سياق التهاب قزحية وجسم هدبي حاد,,E,ABCDE,,
3483,Y5,يعالج انفصال الشبكية بجميع الطرق التالية عدا:,Ophthalmology,Ophthalmology,بتطبيق الليزر أرغون على الشبكية المنفصلة,بتطويق الصلبة بشرط سيليكون بعد الثقوب,يقطع الزجاجي وحقن غاز داخل العين,بقطع الزجاجي وحقن زيت السيليكون داخل العين,بحقن غاز داخل العين دون قطع الزجاجي,,A,ABCDE,,
3484,Y5,الشطور:,Ophthalmology,Ophthalmology,شائع بعد من ال 40,يظهر عند تعطل الدمج,تحتاج إلى علاج جراحي,كل ما سبق صح,كل ما سبق خطأ,,B,ABCDE,,
3485,Y5,في التهاب المشيمية النضحي (النتحي) نجد ما يلي ما عدا:,Ophthalmology,Ophthalmology,تبدو البقعة الالتهابية الحديثة بمستوى أعمق من الأوعية الشبكية,ما يميزه هو تخرب غشاء بروك في المراحل الباكرة للمرض,توضع الإصابة في المحيط فلما يترافق مع أعراض تذكر,في إصابة القطب الخلفي يشكو المريض من تشوه الأشكال,الشبكية متغيمة وكثافات منتشرة في الزجاجي,,B,ABCDE,,
3486,Y5,قياس ضغط العين (ما عدا):,Ophthalmology,Ophthalmology,التحري الإصبعي,طريقة شيوتز,جهاز ماكلاكوف,جهاز غولدمان,جهاز ماكاي,,E,ABCDE,,
3487,Y5,أورام الأجفان الصفراء:,Ophthalmology,Ophthalmology,هي عبارة عن توضعات من الكوليسترول في الأدمة,تترافق عادة مع ارتفاع كوليسترول الدم,يستطب استئصال الأورام الصفراء عند الحوامل نظراً لاحتمال تسرطنها,كل ما ذكر صحيح,كل ما ذكر خطأ,,E,ABCDE,,
3488,Y5,أحد المواد التالية لا يسبب التهاب العصب البصري:,Ophthalmology,Ophthalmology,الديجتال,التريديون,التبغ,الأسبرين,الستربتومايسين,,D,ABCDE,,
3489,Y5,كل ما يلي صحيح عن العصب البصري ما عدا:,Ophthalmology,Ophthalmology,هو العصب القحفي الثاني,يتكون من محاوير خلايا مولر في الشبكية,S يأخذ شكل حرف S في الحجاج,يتعرض للانضغاط عند مروره عبر الصفيحة المثقبة,يتعرض للإنتانات من الخلايا الغربالية في التهاب الجيوب,,B,ABCDE,,
3490,Y5,في جروح العين النافذة: )اختر الخاطئة( )السليمة(.,Ophthalmology,Ophthalmology,تحدث عند إصابة العين بأدوات حادة.,تخرب هذه الأجسام أنسجة العين بشكل غير مباشر.,قد تسبب التهاب باطن العين القيحي.,قد يحدث التهاب العين الودي في العين الأخرى,قد تحدث عند إصابة العين بالأجسام الأجنبية المتطايرة.,,B,ABCDE,,
3491,Y5,تصنف التهابات العنبة وفقاً للعامل المسبب إلى: (الخاطئة) #15#,Ophthalmology,Ophthalmology,إنتانات خارجية المنشأ,إنتانات داخلية المنشأ,التهابات تحسسية,التهابات حبيبومية,التهابات ثانوية المنشأ,,D,ABCDE,,
3492,Y5,كل ما يلي من أع ا رض التهاب حليمة العصب البصري ما عدا:,Ophthalmology,Ophthalmology,نقص طفيف في الرؤيا,ألم عند تحريك المقلة,اضطراب في تمييز الألوان,عتامة مركزية,تضيق الساحة البصرية,,A,ABCDE,,
3493,Y5,كل مما يلي صحيح عن الجحوظ الغدي لفرط نشاط الدرق ما عدا:,Ophthalmology,Ophthalmology,صيب الذكور أكثر من الإناث بنسبة 5 إلى 4,يحدث نتيجة اضطراب مناعي ذاتي,غالبا ثنائي الجانب ومحوري,يحدث عادة في العقدين الرابع والخامس,في حوالي 10-20% من الحالات يحدث الاعتلال العيني الدرقي رغم غياب المظاهر السريرية والكيميائية والحيوية لفرط الدرق,,A,ABCDE,,
3494,Y5,تكون الصورة السريرية في رضوض العين الكليلة: )اختر الخاطئة (,Ophthalmology,Ophthalmology,يكون البيت الأمامي رائق,التهاب القزحية والجسم الهدبي,نقبض رضي في الحدقة مترافق تشنج مطابق,قد تظهر نزوف في المشيمية,قد يحدث انفكاك لجذر القزحية,,A,ABCDE,,
3495,Y5,يتميز التهاب ما فوق الصلبة بما يلي عدا:,Ophthalmology,Ophthalmology,يحدث كارتكاس البرجائي لنيفانات داخلية,وجود عقيدة,يوجد تبيغ في الأوعية العميقة,الملتحمة متحركة فوق العقيدة,يمكن أن يؤدي إلى حدوث العنبة الصلبة,,E,ABCDE,,
3496,Y5,فيما يتعلق بالتهاب الملتحمة اختر العبارة الصحيحة:,Ophthalmology,Ophthalmology,تشيع الضخامة العقدية أمام الأذن في التهاب الملتحمة الجرثومي,من الشائع أن يترافق التهاب الملتحمة التحسسي بمفرزات قيحية,قد تأخذ التهابات الملتحمة الجرثومية الشكل المزمن,يرجع السياق الوبائي كون التهاب الملتحمة جرثومي وليس فيروسي,كل ما سبق خاطئ,,C,ABCDE,,
3497,Y5,في الورم الوعائي المشيمي (الخاطئة),Ophthalmology,Ophthalmology,يتوضع في القطب الخلفي للعين,يحتاج لعلاج دائما,يكون بشكل قرصي أو قبة,من الممكن أن يترافق مع انفصال شبكية,كل ما سبق صحيح,,B,ABCDE,,
3498,Y5,كل ما يلي فيما يتعلق باعتلال الشبكية في الداء السكري صح ما عدا:,Ophthalmology,Ophthalmology,يعتمد على مدة الإصابة بالسكري,يعتمد على شدة الإصابة بالسكري,يزداد في السكر غير المضبوط,علاجه بالليزر,قد يؤدي إلى نزف زجاجي مفاجئ,,B,ABCDE,,
3499,Y5,الحول المتقارب تعريفا هو الحالة التي:,Ophthalmology,Ophthalmology,لا يتلاقى فيها المحوران البصريان عند الجسم المنظور,يتلاقى فيها المحوران البصريان في نقطة تقع أمام الجسم المنظور,يتلاقى فيها المحوران البصريان في نقطة تقع خلف الجسم المنظور,يتلاقي فيها محورا الرؤية في نقطة تقع أمام الجسم المنظور,يتلاقى فيها محورا الرؤية في نقطة تقع خلف الجسم المنظور,,D,ABCDE,,
3500,Y5,الأسباب المؤدية لحدوث الزرق الولادي (ما عدا):,Ophthalmology,Ophthalmology,بقاء الطبقة الجنينية الوسطى في زاوية البيت الأمامي,الارتكاز الغير طبيعي للعضلة الهدبية في منطقة الجويئز,أورام الجذع العصبي,صابة الأم ال الحامل بالحصبة الألمانية,تناذر ستيرج ويبر,,D,ABCDE,,
3501,Y5,فيما يتعلق بالرمد الربيعي فإن إحدى العبارات التالية خاطئة:,Ophthalmology,Ophthalmology,يحدث في فصلي الربيع والصيف غالباً,ثنائي الجانب غالباً,يصيب الأطفال واليافعين عادةً,كثيراً ما نعثر على شكايات عائلية مشابهة,يلعب ال IgA دوراً في حدوثه,,E,ABCDE,,
3502,Y5,بمقارنة الإنذار لكل من الحروق الكيميائية والحروق الحرارية:,Ophthalmology,Ophthalmology,لحروق الكيميائية أفضل إنذاراً من الحروق الحرارية.,الحروق الحرارية أفضل إنذاراً من الحروق الكيميائية.,لكلا النوعين الإنذار نفسه.,لا توجد دراسات كافية بعد.,لا شيء مما سبق.,,B,ABCDE,,
3503,Y5,كل ما يلي صحيح عن الخوص ما عدا :,Ophthalmology,Ophthalmology,هو غؤور المقلة,غالبا ثنائي الجانب,يمكن أن يكون ولادي,يمكن أن يكون رضي,يمكن أن يكون شللي,,B,ABCDE,,
3504,Y5,في سحجات القرنية كل ما يلي صحيح عدا:,Ophthalmology,Ophthalmology,من رضوض العين اللا نافذة,تترافق مع خوف من الضياء,تترافق مع دماع,غير مؤلمة شديد,تسبب الشعور بوجود جسم أجنبي,,D,ABCDE,,
3505,Y5,في التهاب العين الودي: (اختر الإجابة الخاطئة),Ophthalmology,Ophthalmology,قد تصاب العين الشديدة بالتهاب عنبة شديد.,التهاب العين الودي مرض مناعي ذاتي.,تلعب خلايا العنبة دور المستضدات.,تنتقل الأضداد المتولدة مع الجريان الدموي إلى العين السليمة.,ينتج عن التفاعل المناعي التهاب عنبة غير حبيبي.,,E,ABCDE,,
3506,Y5,إن ظهور الساد بشكل مبكر قبل سن الخمسين يجب أن يدعونا إلى التفتيش عن وجود ما يلي عدا:,Ophthalmology,Ophthalmology,الداء السكري,ارتفاع التوتر الشرياني,التعرض لعوامل فيزيائية كالأشعة تحت الحمراء أو فوق البنفسجية أو السينية,الاستخدام الموضعي لبعض الأدوية مثل الكورتيزونا,التناول الجهازي لبعض الأدوية مثل الكورتيزون,,B,ABCDE,,
3507,Y5,من اختلاطات مد البصر ما يلي عدا:,Ophthalmology,Ophthalmology,زرق مفتوح الزاوية,غمش (كسل وظيفي),وذمة كاذبة في حليمة العصب البصري,حول أنسي,زرق مغلق الزاوية,,A,ABCDE,,
3508,Y5,يبلغ طول العصب البصري وسطيا:,Ophthalmology,Ophthalmology,45 mm,25 mm,35 mm,30 mm,كل ما سبق خاطئ,,A,ABCDE,,
3509,Y5,يتميز انسداد القناة الدمعية الأنفية عند الأطفال ب:,Ophthalmology,Ophthalmology,سببه غالباً انسداد عظمي في القناة الدمعية الأنفية,يشاهد عند 1-2% من حديثي الولادة,يبقى دون تظاهرات سريرية ويكشف عادة عفوياً بالفحص الروتيني,يعالج بالمفاغرة الجراحية بين كيس الدمع والأنف إذا لم يتم الانفتاح العفوي بعد سن الستة أشهر,ليس للمعالجة المحافظة دور,,B,ABCDE,,
3510,Y5,في التهاب الملتحمة والقرنية النفاطي ما يلي صحيح ما عدا:,Ophthalmology,Ophthalmology,تتشكل عقيدة جيلاتينية في مركز القرنية,المناعة من النوع الرابع,تحاط الآفة بارتشاح خلوي واحتقان,قد يكون سبب الآفة تحسسي للسل TB,قد يكون سبب الآفة تحسسي لذيفان العنقوديات Staphylococus,,A,ABCDE,,
