,﻿id,level,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,question_old,answer_text,question
3605,3607,Y5,Ophthalmology,Ophthalmology,الاستمرار في استخدام الصادات,اللجوء للجراحة فورا,الاستمرار في المراقبة,يجب اخذ خزعة من الورم,,,D,ABCD,في الحالات المعندة وغير المستجيبة للعلاج في الورم الكاذب للحجاج يجب:,يجب اخذ خزعة من الورم,ما الذي يجب فعله في الحالات المعندة وغير المستجيبة للعلاج في الورم الكاذب للحجاج؟
3607,3609,Y5,Ophthalmology,Ophthalmology,فقد حس الملتحمة والقرنية,شلل حركي تام للعين,جحوظ مقلة,حول انسي,,,A,ABCD,إن إصابة الشعبة العينية من العصب الخامس في متلازمة الشق الحجاجي العلوي تؤدي إلى:,فقد حس الملتحمة والقرنية,ما هي النتائج التي تؤدي إليها إصابة الشعبة العينية من العصب الخامس في متلازمة الشق الحجاجي العلوي؟
3618,3620,Y5,Ophthalmology,Ophthalmology,ضمور عصب بصري,خثرة الوريد الشبكي المركزي,التهاب العصب البصري الاقفاري,التهاب العصب البصري خلف المقلة,,,C,ABCD,مريض عمره 65 سنة لديه فقد رؤية في النصف العلوي من الساحة البصرية البدء مفاجئ التشخيص الأقرب:,التهاب العصب البصري الاقفاري,ما هو التشخيص الأقرب لمريض عمره 65 سنة لديه فقد رؤية في النصف العلوي من الساحة البصرية مع بدء مفاجئ؟
3665,3667,Y5,Ophthalmology,Ophthalmology,بداية ظهور القرحة,مرحلة شفاء القرحة,غزاراة الجراثيم في القرحة,تقبب غشاء ديسميه وخطر انثقابه,ليس له أي دلالة,,D,ABCDE,ظهور تقبب على شكل حويصل أسود في قعر القرحة القرنية الجرثومية يدل على :,تقبب غشاء ديسميه وخطر انثقابه,ما الذي يدل عليه ظهور تقبب على شكل حويصل أسود في قعر القرحة القرنية الجرثومية؟
3678,3680,Y5,Ophthalmology,Ophthalmology,بعد أصابع الفاحص,بتحريك يد الفاحص أمام عين المريض,باستخدام منبع ضوئي متحرك من الجهات الأربعة,نعتبر أن حدة البصر معدومة,كل الإجابات السابقة خاطئة,,A,ABCDE,إذا لم يتمكن المريض من قراءة أكبر أحرف اللوحة، الطريق التالية لتقدير حدة البصر لديه:,بعد أصابع الفاحص,ما هي الطريقة التالية لتقدير حدة البصر لدى المريض إذا لم يتمكن من قراءة أكبر أحرف اللوحة؟
3681,3683,Y5,Ophthalmology,Ophthalmology,تدهور حدة الرؤية,رؤية مزدوجة,حول متناوب,كل ما سبق صح,كسل وظيفي,,B,ABCDE,في الحول الشئلي عند البالغين يشكو المريض من:,رؤية مزدوجة,ما الذي يشكو منه المريض في الحول الشللي عند البالغين؟
3698,3700,Y2,Pathology,Pathology,اليرقان الانحلالي,اليرقان الكبدي,اليرقان الانسدادي,كل ماسبق خطأ,,,C,ABCD,ينعدم يوروبيلينوجين البول في,اليرقان الانسدادي,متى ينعدم يوروبيلينوجين البول؟
3700,3702,Y2,Pathology,Pathology,ALT,اميلاز,ليباز,كل ماسبق خطأ,,,A,ABCD,في الاحتباس الصفراوي ما هو الانزيم الافضل للوصول للتشخيص,ALT,في الاحتباس الصفراوي ما هو الانزيم الأفضل للوصول للتشخيص؟
3711,3713,Y2,Pathology,Pathology,ترتفع الموجة a_2غلوبيولين وتنخفض موجة الالبومين,ترتفع الموجة a_2غلوبيولين وترتفع الموجة a_1غلوبيولين,ترتفع موجة الالبومين وترتفع موجة غاما غلوبيولين,يرتفع موجة a_1غلوبيولين وترتفع الموجة β,,,B,ABCD,نتيجة رحلان البروتينات في الالتهابات الحادة :,ترتفع الموجة a_2غلوبيولين وترتفع الموجة a_1غلوبيولين,ما هي نتيجة رحلان البروتينات في الالتهابات الحادة؟
3718,3720,Y2,Pathology,Pathology,الكوليسترول,أمونيا,البيريدوكسامين,الكولين,,,B,ABCD,المركب الذي يتم اصطناعه بدءا من الحموض الأمينية هو:,أمونيا,ما هو المركب الذي يتم اصطناعه بدءا من الحموض الأمينية؟
3728,3730,Y2,Pathology,Pathology,الصداع,الشحوب,التكزز,ضخامة الطحال,,,B,ABCD,من اعراض فقر الدم بعوز الحديد عند المريض,الشحوب,ما هي أعراض فقر الدم بعوز الحديد عند المريض؟
3729,3731,Y2,Pathology,Pathology,النقرص,اليوريميا,الازوتيميا قبل الكلوية,"الازوتيميا بعد الكلوية 
 التوضيح : نلاحظ وجود ارتفاع متناسب بين البولة والكرياتينيم مما يؤدي لانها حالة ازوتيميا كلوية.",,,B,ABCD,مريضة عمرها 44 سنة تشكو من تعب عام، تم إجراء الاختبارات الكيميائية فكانت قيمة البولة الدموية 140 (13) ملغ دل وقيمة الكرياتنين هي 6 ملغ دل وحمض البول 4 ملغ دل. المريضة تعاني من حالة هي:,اليوريميا,ما هي الحالة التي تعاني منها مريضة عمرها 44 سنة تشكو من تعب عام وكانت قيمة البولة الدموية 140 ملغ/دل وقيمة الكرياتنين 6 ملغ/دل وحمض البول 4 ملغ/دل؟
3731,3733,Y2,Pathology,Pathology,عوز الحديد,داء ويلسون,فرط حمولة الحديد,نقص المغنزيوم,,,B,ABCD,سبب تشمع الكبد عند مريض عمره 12 سنة هو:,داء ويلسون,ما هو سبب تشمع الكبد عند مريض عمره 12 سنة؟
3732,3734,Y2,Pathology,Pathology,نقص مغنيزيوم,عوز الحديد,داء ويلسون,فرط حمولة الحديد,,,C,ABCD,مريض عمره 12 سنة يشكو من قصور ( تشمع كبد ) احتمال أن يكون:,داء ويلسون,ما هو الاحتمال الأكثر ترجيحاً لسبب تشمع الكبد عند مريض عمره 12 سنة؟
3734,3736,Y2,Pathology,Pathology,شخص سليم,مريض سكري,لديه عدم تحمل السكر مطلقاً,ليس أي مما سبق,,,B,ABCD,مريض عنده الغلوكوز 210 ملغ / دل فهو :,مريض سكري,ما هو تصنيف مريض عنده الغلوكوز 210 ملغ / دل؟
3735,3737,Y2,Pathology,Pathology,شخص طبيعي,مريض سكري,معه اضطراب تحمل السكر صيامي,ليس أي مما سبق,,,B,ABCD,مريض تم تحليل الغلوكوز الصيامى له فكانت النتيجة : 128 ملغ /دل فهو :,مريض سكري,ما هو تصنيف مريض تم تحليل الغلوكوز الصيامي له فكانت النتيجة 128 ملغ/دل؟
3736,3738,Y3,Pharmacology,Pharmacology,الحديد,النحاس,الكالسيوم,الصوديوم,البوتاسيوم,,C,ABCDE,المركب ايتلين ديامين تترا استات مركب لاقط لـ :,الكالسيوم,ما هو المركب الذي يعتبر ايتلين ديامين تترا استات مركباً لاقطاً له؟
3737,3739,Y3,Pharmacology,Pharmacology,الايميتين,الكولشيمين,داي بيريدامول,الريزربين,لوسارتان,,B,ABCDE,مركب يستخدم في تدبير حمى البحر الابيض المتوسط,الكولشيمين,ما هو المركب الذي يستخدم في تدبير حمى البحر الأبيض المتوسط؟
3740,3742,Y3,Pharmacology,Pharmacology,الأول.,الثاني.,الثالث.,الرابع.,الخامس.,,B,ABCDE,داء الفقاع المحرض دوائياً يعود للنمط التحسسي:,الثاني.,ما هو النمط التحسسي الذي يعود إليه داء الفقاع المحرض دوائياً؟
3741,3743,Y3,Pharmacology,Pharmacology,تثبيط PDE,تنشيط مستقبلات ال GABAA,قفل مستقبلات ال GABAA,تثبيط نشاط مستقبلات NMDA,تنشيط مستقبلات NMDA,,A,ABCDE,آلية تاثير المركب دابيريدامول تعتمد على:,تثبيط PDE,ما هي آلية تأثير المركب دابيريدامول؟
3772,3774,Y3,Pharmacology,Pharmacology,50 ملغ .,. 17.5 ملغ.,25 ملغ.,. 37.5 ملغ.,35 ملغ.,,C,ABCDE,"إذا كانت جرعة دواء عند البالغ ۱۰۰ ملغ فإن جرعته عند طفل وزنه 17,5 كغ هي:",25 ملغ.,"ما هي جرعة الدواء عند طفل وزنه 17,5 كغ إذا كانت جرعة البالغ 100 ملغ؟"
3790,3792,Y3,Pharmacology,Pharmacology,80,100,120,140 .,كل ماسبق خطا,,B,ABCDE,إن معدل التصفية الكلوية للكرياتينين عند رجل عمره 40 سنة ومستوى كرياتينين الدم 1 ملغ دل و وزنه ۷۲ كغ مقدرة بـ مل / د هي :,100,ما هو معدل التصفية الكلوية للكرياتينين عند رجل عمره 40 سنة ومستوى كرياتينين الدم 1 ملغ/دل ووزنه 72 كغ؟
3802,3804,Y2,Physiology,Physiology,الخلايا المساعدة.,الخلايا القاتلة.,الخلايا الذاكرة.,الخلايا الكابتة,,,B,ABCD,خلايا تقوم بإفراز بروتين برفورين الذي يفتح ثقوب في غشاء الخلية الهدف :,الخلايا القاتلة.,ما هي الخلايا التي تقوم بإفراز بروتين برفورين الذي يفتح ثقوب في غشاء الخلية الهدف؟
3805,3807,Y1,Physiology,Physiology,ازداد معدل الانتشار.,انخفض معدل الانتشار.,لم يتأثر معدل الانتشار.,ازدادت السرعة التي تتحرك بها الجزيئات.,,,B,ABCD,- كلما زاد الوزن الجزيئي للغاز:,انخفض معدل الانتشار.,كيف يتأثر الغاز كلما زاد وزنه الجزيئي؟
3807,3809,Y2,Physiology,Physiology,الانكسار,الانتشار,الانعكاس,الامتصاص,,,B,ABCD,المبدأ الأساسي للتشتت هو:,الانتشار,ما هو المبدأ الأساسي للتشتت؟
3808,3810,Y1,Physiology,Physiology,الاول,الثالث,الخامس,العاشر,,,B,ABCD,الدور الأساسي للعامل السابع هو تسريع تشكل العامل:,الثالث,ما هو العامل الذي يسرع العامل السابع تشكله؟
3811,3813,Y2,Physiology,Physiology,الخلط المائي و الزجاج للعين.,سوائل غشاء الجنبة والتامور.,السيتوبلازما.,الأكياس الزليلة للمفاصل.,,,C,ABCD,السائل داخل الخلايا يكون في,السيتوبلازما.,ما هو السائل الموجود داخل الخلايا؟
3814,3816,Y1,Physiology,Physiology,التعرف الحيزي,تمييز حس النقطتين,الحس المجسم,اضطراب نظم,,,B,ABCD,مقدرة شخص على ادراك منبهيين لمسيين مطبقين على منطقة من سطح الجسم على انهما منفصلتان :,تمييز حس النقطتين,ما هي مقدرة شخص على إدراك منبهين لمسيين مطبقين على منطقة من سطح الجسم على أنهما منفصلان؟
3815,3817,Y1,Physiology,Physiology,غياب النخاعين في معظم الألياف,قصر المحور الأسطواني لهذه الألياف,غياب غمد شوان,عدم وجود الخلايا الدبقية قليلة التغصنات,,,C,ABCD,سبب عدم قدرة ألياف الجهاز العصبي المركزي على التجدد هو:,غياب غمد شوان,ما هو سبب عدم قدرة ألياف الجهاز العصبي المركزي على التجدد؟
3818,3820,Y2,Physiology,Physiology,فوق البنفسجي,تحت الأحمر القريب,تحت الأحمر المتوسط,تحت الأحمر البعيد,,,B,ABCD,أن النسخ السيولوجية شفافة نسبيا في المجال:,تحت الأحمر القريب,ما هو المجال الذي تكون فيه النسخ السيتولوجية شفافة نسبياً؟
3821,3823,Y1,Physiology,Physiology,الضغط الجزئي للأوكسجين في الدم PO2.,تركيز ثنائي أوكسيد الكربون في الدم PCO2.,تركيز شوارد الهيدروجين في الدم.,تركيز 2.3 ثنائي فوسفات الغليسيرات DPG في الدم.,,,A,ABCD,. العامل الرئيسي الذي يحدد ارتباط الأكسجين بخضاب الدم هو:,الضغط الجزئي للأوكسجين في الدم PO2.,ما هو العامل الرئيسي الذي يحدد ارتباط الأكسجين بخضاب الدم؟
3826,3828,Y2,Physiology,Physiology,تلقيم راجع سلبي للثرومبين.,تلقيم راجع إيجابي للثرومبين.,تنشيط العامل ال ٦.,تثبيط سبل التخثر.,,,B,ABCD,العامل ٣ مع ca يؤدي الى :,تلقيم راجع إيجابي للثرومبين.,ما الذي يؤدي إليه العامل ٣ مع الكالسيوم؟
3829,3831,Y2,Physiology,Physiology,التعرض للشدة والحمى.,عند انخفاض دراجة الحرارة.,عند استئصال الطحال.,عند ظهور تكتلات ورمية.,,,A,ABCD,في التلاسيميا يزداد الانحلال عند :,التعرض للشدة والحمى.,متى يزداد الانحلال في التلاسيميا؟
3830,3832,Y1,Physiology,Physiology,A,B,C,K,,,D,ABCD,الفيتامين الأساسي في عملية تشكيل عوامل التخثر:,K,ما هو الفيتامين الأساسي في عملية تشكيل عوامل التخثر؟
3836,3838,Y1,Physiology,Physiology,الخلوي,النسيجي,الجهازي,الكائن الحي ككل,,,B,ABCD,دراسة آلية و توليد و نقل كوامن الفعل فى القلب هي جزء من الفيزيولوجيا على المستوى (سؤال ربط مع الفصل الخامس ),النسيجي,ما هو المستوى من الفيزيولوجيا الذي تنتمي إليه دراسة آلية وتوليد ونقل كوامن الفعل في القلب؟
3837,3839,Y1,Physiology,Physiology,في المشابك بين العصبونات قبل العقدية وبعد العقدية للودي,في المشابك بين العصبونات قبل العقدية وبعد العقدية نظير الودية,أغشية خلايا العضالت الهيكلية,العقدة الجيبية الأذينية في القلب,,,D,ABCD,توجد المستقبالت النيكوتينية في الأماكن التالية:,العقدة الجيبية الأذينية في القلب,أين توجد المستقبلات النيكوتينية؟
3846,3848,Y1,Physiology,Physiology,كمية البروتينات في الغشاء الخلوي,مقدار ذوبانه في الشحوم,وظيفة الخلية,كل مما سبق خاطئ,,,B,ABCD,تعتمد سرعة انتشار الأوكسجين عبر غشاء الخلية على:,مقدار ذوبانه في الشحوم,ما الذي تعتمد عليه سرعة انتشار الأوكسجين عبر غشاء الخلية؟
3850,3852,Y1,Physiology,Physiology,تتحرض الغدة النخامية لافراز THS,ترسل الخلايا المتأثرة به إشارات تلقيم ايجابي,تتوقف الغدة النخامية عن افراز THS,كل ما سبق صحيح,,,C,ABCD,عندما يصل التيروكسين الى المستوى الدوراني المطلوب:,تتوقف الغدة النخامية عن افراز THS,ماذا يحدث عندما يصل التيروكسين إلى المستوى الدوراني المطلوب؟
3851,3853,Y1,Physiology,Physiology,توليد إشارات تجعلها ناظمة للقلب,"تأخير زمن مرور الإشارة بمقدار ,1 0 ثانية",تأمين المقوية الودية للقلب,تأمين وصول الإشارات إلى شغاف القلب,,,A,ABCD,الوظيفة الرئيسية للعقدة الأذينية البطينية في الحالت السوية:,توليد إشارات تجعلها ناظمة للقلب,ما هي الوظيفة الرئيسية للعقدة الأذينية البطينية في الحالات السوية؟
3853,3855,Y1,Physiology,Physiology,الأستيل كولين والكوليسيستوكينين,الأستيل كولين والسكرتين,السكرتين والكوليسيستوكينين,السكرتين والغاسترين,,,A,ABCD,تحّرض العوامل التالية إفراز عصارة بنكرياسية غنّية بالإنزيمات:,الأستيل كولين والكوليسيستوكينين,ما هي العوامل التي تحرض إفراز عصارة بنكرياسية غنية بالإنزيمات؟
3855,3857,Y1,Physiology,Physiology,النبيبات الدانية,عروة هانلي,النبيبات القاصية,النبيبات الجامعة,,,A,ABCD,يتم إعادة امتصاص القسم الأعظم من الماء المرتشح في مستوى:,النبيبات الدانية,أين يتم إعادة امتصاص القسم الأعظم من الماء المرتشح؟
3859,3861,Y1,Physiology,Physiology,لانغلاق الصمامات السينية,تقبض البطنيات,انغلاق الصمامات الأذينية البطينية,تقبض الاذينات,,,C,ABCD,الصوت الأول للقلب ناتج عن :,انغلاق الصمامات الأذينية البطينية,ما هو سبب الصوت الأول للقلب؟
3864,3866,Y1,Physiology,Physiology,العقدة الجيبية الأذينية.,العقدة الأذينية البطينية.,حزمة هيس.,ألياف بوركنجي.,,,A,ABCD,الخلايا التي تمتلك أسرع النظم الأسرع من زوال الاستقطاب:,العقدة الجيبية الأذينية.,ما هي الخلايا التي تمتلك أسرع معدل لزوال الاستقطاب؟
3866,3868,Y1,Physiology,Physiology,العامل الخامس,العامل الثالث,العامل السابع,العامل التاسع,,,C,ABCD,وظيفته تسريع عملية تشكل الترومبوبلاستين الصفيحي:,العامل السابع,ما هو الذي وظيفته تسريع عملية تشكل الترومبوبلاستين الصفيحي؟
3867,3869,Y1,Physiology,Physiology,المجموعة التنفسية الظهرية,المجموعة التنفسية البطنية,مولد النسق المركزي,مركز التنفس الجسري,,,D,ABCD,يعمل على تسهيل الانتقال بين الشهيق والزفير :,مركز التنفس الجسري,ما الذي يعمل على تسهيل الانتقال بين الشهيق والزفير؟
3869,3871,Y2,Physiology,Physiology,بزيادة كمية السيرفاكتانت,بتضيق فوهة القصيبات,بزيادة قطر المنفذ,بزيادة نسبة التهوية على التروية,,,B,ABCDE,يزداد التخصص في الأسناخ الرئوية,بتضيق فوهة القصيبات,ما الذي يزداد في الأسناخ الرئوية؟
3870,3872,Y1,Physiology,Physiology,البرولاكتين,الموجهة الكظرية,هرمون النمو,الموجهة التناسلية,,,C,ABCD,يعرف بالموجهة الجسدية:,هرمون النمو,ما يعرف بالموجهة الجسدية؟
3872,3874,Y1,Physiology,Physiology,المخ,البصلة السيسانية,الوطاء,المهاد,,,C,ABCD,العقدة الرأسية للجهاز العصبي المستقل هي:,الوطاء,ما هي العقدة الرأسية للجهاز العصبي المستقل؟
3874,3876,Y1,Physiology,Physiology,البصلة السيسائية,جسر الدماغ,الجسم اللوزي,الوطاء,,,D,ABCD,محطة رئيسية دماغية تتكامل فيها وظائف الجهاز العصبي المستقل مع وظائف البنى العصبية الأخرى:,الوطاء,ما هي المحطة الرئيسية الدماغية التي تتكامل فيها وظائف الجهاز العصبي المستقل مع وظائف البنى العصبية الأخرى؟
3878,3880,Y1,Physiology,Physiology,الأستيل كولين,النور أدرينالين,الاستيل كولين أو النور أدرينالين,الدوبامين,,,C,ABCD,الناقل العصبي المحرر من طرفيات الألياف بعد العقدية فى القسم الودي :,الاستيل كولين أو النور أدرينالين,ما هو الناقل العصبي المحرر من طرفيات الألياف بعد العقدية في القسم الودي؟
3889,3891,Y1,Physiology,Physiology,إنتاج التستستيرون,تغذية النطاف,تثبيط الحاثةFSH,تحرض نمو وتطور الأعضاء التناسلية الظاهرة,,,B,ABCD,تؤدي خلايا سيرتولي في الخصية دواراً مهماً في:,تغذية النطاف,ما هو الدور المهم الذي تؤديه خلايا سيرتولي في الخصية؟
3895,3897,Y2,Physiology,Physiology,الشريان الرئوي.,الشريان الأبهر مباشرة.,الفروع القصبية للأبهر.,الفروع الرئوية للأبهر.,,,C,ABCD,يتروى النسيج الضام للرئة ب:,الفروع القصبية للأبهر.,ما هو الذي يروي النسيج الضام للرئة؟
3900,3902,Y1,Physiology,Physiology,القنوات المبوبة بالربيطة,قنوات البروتين,قنوات شحمية,القنوات المبوبة بالفولطاج,,,D,ABCD,البوابات التي تتحكم بنفوذية القنوات للشوارد التي تسهم في تشكيل كامن الفعل:,القنوات المبوبة بالفولطاج,ما هي البوابات التي تتحكم بنفوذية القنوات للشوارد التي تسهم في تشكيل كامن الفعل؟
3907,3909,Y1,Physiology,Physiology,جهاز الدوران,جهاز التنفس,العصبى الصماوى,جهاز الهضم,,,C,ABCD,أجهزة التحكم والضبط والمراقبة في الجسم:,العصبى الصماوى,ما هي أجهزة التحكم والضبط والمراقبة في الجسم؟
3912,3914,Y1,Physiology,Physiology,النواقل عصبية,الهرمونات,الهرمونات العصبية الصماوية,السيتوكينات,,,A,ABCD,تحررها نهايات المحاوير العصبية في المشابك والموصلات المشبكية :,النواقل عصبية,ما هي المواد التي تحررها نهايات المحاوير العصبية في المشابك والموصلات المشبكية؟
3914,3916,Y1,Physiology,Physiology,النحاس,الحديدي,الكلور,الأوكسجين,,,B,ABCD,الترانسفيرين ينقل:,الحديدي,ماذا ينقل الترانسفيرين؟
3916,3918,Y1,Physiology,Physiology,حس الألم,حس الحرارة,الإحساسات الجنسية,حس الدغدغة,,,A,ABCD,الإحساس الذي يمكن أن ُيدرك كلياً في لمهاد هو:,حس الألم,ما هو الإحساس الذي يمكن أن يُدرك كلياً في المهاد؟
3917,3919,Y1,Physiology,Physiology,المشابك بين العصبونات قبل العقدية وبعد العقدية للجهاز اللاودي,العقد المستقلة,الخلايا المستجيبة للتنبيه بالعصبونات الكولينية الفعل بعد العقدية,الوصل العصبي العضلي,,,C,ABCD,توجد المستقبلات المسكارينية في:,الخلايا المستجيبة للتنبيه بالعصبونات الكولينية الفعل بعد العقدية,أين توجد المستقبلات المسكارينية؟
3928,3930,Y1,Physiology,Physiology,A,B,AB,O,,,D,ABCD,اذا كانت الكرية الحمراء لا تحوي مولد ارتصاص فتكون الزمرة:,O,ما هي الزمرة الدموية إذا كانت الكرية الحمراء لا تحوي مولد ارتصاص؟
3933,3935,Y1,Physiology,Physiology,العقدة الأذينية البطينية.,حزمة هيس.,العقدة الجيبية.,ألياف بوركنج.,,,C,ABCD,ناظم القلب هو:,العقدة الجيبية.,ما هو ناظم القلب؟
3939,3941,Y1,Physiology,Physiology,الترومبوكسان A2,البروستاسايكلين,السبروتين,ADP,,,A,ABCD,الجهاز الانزيمي في الخلايا البطانية السليمة يشكل اعتباراً من حمض الاراشيدونيك:,الترومبوكسان A2,ما الذي يشكله الجهاز الانزيمي في الخلايا البطانية السليمة اعتباراً من حمض الاراشيدونيك؟
3946,3948,Y1,Physiology,Physiology,الجذر التربيعي ل قطر الليف,الجذر التكعيبي ل قطر الليف,مربع قطر الليف,مع قطر الليف,,,A,ABCD,تتناسب سرعة النقل في الالياف العصبية اللانخاعينية مع:,الجذر التربيعي ل قطر الليف,ما الذي تتناسب معه سرعة النقل في الألياف العصبية اللانخاعينية؟
3956,3958,Y1,Physiology,Physiology,النواتين الناحلة والإسفينية,القرن الخلفي للنخاع الشوكي,المهاد,التّشكلات الشبكية الصاعدة,,,C,ABCD,تقع أجسام عصبونات المرتبة الثانية للإلحساسات المنقولة بمسلك العمود الظهري في:,المهاد,أين تقع أجسام عصبونات المرتبة الثانية للإحساسات المنقولة بمسلك العمود الظهري؟
3958,3960,Y1,Physiology,Physiology,طردا مع تركيز المادة المنتشرة,طردا مع مدروج تركيز المادة المنتشرة,عكساً مع تركيز المادة المنتشرة,عكساً مع مدروج تركيز المادة المنتشرة,,,B,ABCD,تتناسب سرعة الانتشار البسيط:,طردا مع مدروج تركيز المادة المنتشرة,ما هي العوامل التي تتناسب معها سرعة الانتشار البسيط؟
3960,3962,Y1,Physiology,Physiology,الانتشار,النقل المّيسر,النقل المرافق,النقل الفاعل الأولي,,,A,ABCD,تحرر شوارد الكالسيوم من الشبكة الهيولية في العضلات الهيكلية يحدث بآلية:,الانتشار,ما هي آلية تحرر شوارد الكالسيوم من الشبكة الهيولية في العضلات الهيكلية؟
3962,3964,Y1,Physiology,Physiology,عدم حدوث تبدلت مهمة في وظائف الجهاز العصبي المستقبل عند قطع جذع الدماغ فوق مستوى البصلة,عدم حدوث تبدلت مهمة في وظائف الجهاز العصبي المستقبل عند قطع جذع الدماغ فوق مستوى البصلة,يؤلف الجهاز الحوفي منطقة واسعة من أدمغة الحيوانات الدن,ارتباط الوطاء ارتباطا وثيقا مع الجهاز الحوفي,,,A,ABCD,ما يؤكد الدور األهم للمراكز الشوكية والبصلية في وظيفة الجهاز العصبي المستقل:,عدم حدوث تبدلت مهمة في وظائف الجهاز العصبي المستقبل عند قطع جذع الدماغ فوق مستوى البصلة,ما الذي يؤكد الدور الأهم للمراكز الشوكية والبصلية في وظيفة الجهاز العصبي المستقل؟
3963,3965,Y1,Physiology,Physiology,الوصول لتركيز متساو للمادة على جانبي الغشاء,الحفاظ على مدروج تركيز مرتفع للمادة عبر الغشاء,توفير استهالك الطاقة,زيادة حساسية قنوات الفولطاج,,,B,ABCD,الهدف الساسي للنقل الفاعل عبر الغشاء:,الحفاظ على مدروج تركيز مرتفع للمادة عبر الغشاء,ما هو الهدف الأساسي للنقل الفاعل عبر الغشاء؟
3966,3968,Y1,Physiology,Physiology,الأوعية الدموية للسنخ,العضلات الملس لقصبة السنخ,مستوى السورفاكتانت في الأسناخ,السعة الحيوية للرئتين,,,A,ABCD,يؤثر تغير كمية الأوكسجين في الأسناخ على:,الأوعية الدموية للسنخ,ما الذي يتأثر بتغير كمية الأوكسجين في الأسناخ؟
3973,3975,Y1,Physiology,Physiology,5 أيام,10 أيام,20 يوم,شهر,,,C,ABCD,أقصى مدة لحفظ الدم:,20 يوم,ما هي أقصى مدة لحفظ الدم؟
3976,3978,Y1,Physiology,Physiology,تحويلة فيزيولوجية,حيز ميت فيزيولوجي,التّهوية الكلّية والجريان الكلّي متوافقين,تبقى تروية السنخ كافية,,,B,ABCD,عندما تكون تهوية السنخ أعلى من ترويته الدّموية:,حيز ميت فيزيولوجي,ماذا يحدث عندما تكون تهوية السنخ أعلى من ترويته الدموية؟
3998,4000,Y1,Physiology,Physiology,الاسهال,الأقياء,التجفاف,الجنب وانصباب الجنب,,,D,ABCD,تزداد كمية الماء الموجودة في الاحياز الخاصة:,الجنب وانصباب الجنب,ما هي الحالات التي تزداد فيها كمية الماء الموجودة في الأحياز الخاصة؟
3999,4001,Y1,Physiology,Physiology,TRH,CRH,PIH,GNRH,,,B,ABCD,الهرمون المطلق للموجهة القشرية هو :,CRH,ما هو الهرمون المطلق للموجهة القشرية؟
4002,4004,Y1,Physiology,Physiology,صوديوم,بوتاسيوم,كالسيوم,كلور,,,B,ABCD,الشاردة الإيجابية الأساسية في السائل داخل الخلوي:,بوتاسيوم,ما هي الشاردة الإيجابية الأساسية في السائل داخل الخلوي؟
4011,4013,Y1,Physiology,Physiology,يحوي الراصة Anti A,يحوي الراصة Anti B,لا يحوي راصة,"يحوي الراصتين Anti A, Anti B",,,A,ABCD,شخص يحمل الزمرة B فان مصله:,يحوي الراصة Anti A,ما هو نوع المصل الذي يحمله شخص من الزمرة الدموية B؟
4014,4016,Y2,Physiology,Physiology,الأطفال.,البالغين.,الرجال.,الكهل.,,,A,ABCD,انقلاب الصيغة أكثر شيوعاً عند :,الأطفال.,ما هي الحالة التي يكون فيها انقلاب الصيغة أكثر شيوعاً؟
4024,4026,Y1,Physiology,Physiology,كمّية الدم التي يضخها البطين الأيمن في ضربة واحدة,كمّية الدم التي يضخها البطين الأيمن في الدقيقة الواحدة,كمية الدم التي يضخها البطينان في الدقيقة الواحدة,كمية الدم التي تدخل الأذينة اليمنى في دقيقة واحدة,,,A,ABCD,Stroke Volume هو:,كمّية الدم التي يضخها البطين الأيمن في ضربة واحدة,ما هو حجم الضربة (Stroke Volume)؟
4032,4034,Y1,Physiology,Physiology,الحجم الجاري,الحجم المثالي,حجم الشهيق المخر,حجم الزفير المدخر,,,C,ABCD,أقصي كمية هواء يمكن استنشاقها زيادة علي كمية الحجم الجاري السوية :,حجم الشهيق المخر,ما هي أقصى كمية هواء يمكن استنشاقها زيادة على كمية الحجم الجاري السوية؟
4038,4040,Y1,Physiology,Physiology,إفراز العامل البطاني المرخي من بطانة الأوعية الكبيرة.,إفراز الأنجيوجنين وعامل النمو البطاني.,عبر جملة الرينين أنجيوتنسين.,عبر التعصيب الودي واللاودي.,,,B,ABCD,يتم التنظيم المديد للجريان الموضعي عبر:,إفراز الأنجيوجنين وعامل النمو البطاني.,ما هي الآلية التي يتم من خلالها التنظيم المديد للجريان الموضعي؟
4043,4045,Y1,Physiology,Physiology,البوتاسيوم,الكالسيوم,الصوديوم,الصوديوم والكالسيوم,,,B,ABCD,تحدث قوى جذب بين خيوط الاكتين والميوزين مسببة انزلاق بعضها على بعض بسبب شوارد:,الكالسيوم,ما هي الشوارد التي تسبب قوى الجذب بين خيوط الاكتين والميوزين مما يؤدي إلى انزلاق بعضها على بعض؟
4058,4060,Y1,Physiology,Physiology,زيادة سرعة تقلّص العضلات الملساء,مقدرتها على العودة إلى قوة تقلّصها الأصلية بعد ثوان أو دقائق من تطاولها أو قصرها,تحافظ على تقلّص مقوٍمديد فى العضلات الملمس باستخدام كمية قليلة جداً من الطاقه,جعل قوة تقلص العضلات الملس أكبر من قوة تقلص العضلات الهيكلية,,,C,ABCD,الهدف من آلية المزلاج في العضلات الملساء:,تحافظ على تقلّص مقوٍمديد فى العضلات الملمس باستخدام كمية قليلة جداً من الطاقه,ما هو الهدف من آلية المزلاج في العضلات الملساء؟
